Authors	Article Title	Source Title	Author Keywords	Abstract	Journal Abbreviation	Print Year	DOI	Taxon	Order	Genus	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	data type	Spot-checked
Castillo, AI; Chacon-Diaz, C; Rodriguez-Murillo, N; Coletta, HD; Almeida, RPP	Impacts of local population history and ecology on the evolution of a globally dispersed pathogen	BMC GENOMICS	Xylella fastidiosa; WGS; Inter-subspecific recombination; Genetic diversity; Pan genome	BackgroundPathogens with a global distribution face diverse biotic and abiotic conditions across populations. Moreover, the ecological and evolutionary history of each population is unique. Xylella fastidiosa is a xylem-dwelling bacterium infecting multiple plant hosts, often with detrimental effects. As a group, X. fastidiosa is divided into distinct subspecies with allopatric historical distributions and patterns of multiple introductions from numerous source populations. The capacity of X. fastidiosa to successfully colonize and cause disease in naive plant hosts varies among subspecies, and potentially, among populations. Within Central America (i.e. Costa Rica) two X. fastidiosa subspecies coexist: the native subsp. fastidiosa and the introduced subsp. pauca. Using whole genome sequences, the patterns of gene gain/loss, genomic introgression, and genetic diversity were characterized within Costa Rica and contrasted to other X. fastidiosa populations.ResultsWithin Costa Rica, accessory and core genome analyses showed a highly malleable genome with numerous intra- and inter-subspecific gain/loss events. Likewise, variable levels of inter-subspecific introgression were found within and between both coexisting subspecies; nonetheless, the direction of donor/recipient subspecies to the recombinant segments varied. Some strains appeared to recombine more frequently than others; however, no group of genes or gene functions were overrepresented within recombinant segments. Finally, the patterns of genetic diversity of subsp. fastidiosa in Costa Rica were consistent with those of other native populations (i.e. subsp. pauca in Brazil).ConclusionsOverall, this study shows the importance of characterizing local evolutionary and ecological history in the context of world-wide pathogen distribution.	BMC GENOMICS	2020	10.1186/s12864-020-06778-6	Bacteria	Xanthomonadales	Xylella	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, trees	WGS	TRUE
Markova, S; Hornikova, M; Lanier, HC; Henttonen, H; Searle, JB; Weider, LJ; Kotlik, P	High genomic diversity in the bank vole at the northern apex of a range expansion: The role of multiple colonizations and end-glacial refugia	MOLECULAR ECOLOGY	approximate Bayesian computation; Clethrionomys glareolus; climate change; cryptic refugia; genotyping-by-sequencing; population genomics	The history of repeated northern glacial cycling and southern climatic stability has long dominated explanations for how genetic diversity is distributed within temperate species in Eurasia and North America. However, growing evidence indicates the importance of cryptic refugia for northern colonization dynamics. An important geographic region to assess this is Fennoscandia, where recolonization at the end of the last glaciation was restricted to specific routes and temporal windows. We used genomic data to analyse genetic diversity and colonization history of the bank vole (Myodes glareolus) throughout Europe (>800 samples) with Fennoscandia as the northern apex. We inferred that bank voles colonized Fennoscandia multiple times by two different routes; with three separate colonizations via a southern land-bridge route deriving from a Carpathian glacial refugium and one via a north-eastern route from an Eastern glacial refugium near the Ural Mountains. Clustering of genome-wide SNPs revealed high diversity in Fennoscandia, with eight genomic clusters: three of Carpathian origin and five Eastern. Time estimates revealed that the first of the Carpathian colonizations occurred before the Younger Dryas (YD), meaning that the first colonists survived the YD in Fennoscandia. Results also indicated that introgression between bank and northern red-backed voles (Myodes rutilus) took place in Fennoscandia just after end-glacial colonization. Therefore, multiple colonizations from the same and different cryptic refugia, temporal and spatial separations and interspecific introgression have shaped bank vole genetic variability in Fennoscandia. Together, these processes drive high genetic diversity at the apex of the northern expansion in this emerging model species.	MOL ECOL	2020	10.1111/mec.15427	Mammals	Rodentia	Myodes	TRUE	TRUE	no stats of interest	TRUE	ADMIXTURE, sequence similarity, phylogentic approaches	mtDNA, GBS	TRUE
Yurchenko, AA; Masri, RA; Khrabrova, NV; Sibataev, AK; Fritz, ML; Sharakhova, MV	Genomic differentiation and intercontinental population structure of mosquito vectors Culex pipiens pipiens and Culex pipiens molestus	SCIENTIFIC REPORTS		Understanding the population structure and mechanisms of taxa diversification is important for organisms responsible for the transmission of human diseases. Two vectors of West Nile virus, Culex pipiens pipiens and Cx. p. molestus, exhibit epidemiologically important behavioral and physiological differences, but the whole-genome divergence between them was unexplored. The goal of this study is to better understand the level of genomic differentiation and population structures of Cx. p. pipiens and Cx. p. molestus from different continents. We sequenced and compared the whole genomes of 40 individual mosquitoes from two locations in Eurasia and two in North America. Principal Component, ADMIXTURE, and neighbor joining analyses of the nuclear genomes identified two major intercontinental, monophyletic clusters of Cx. p. pipiens and Cx. p. molestus. The level of genomic differentiation between the subspecies was uniform along chromosomes. The ADMIXTURE analysis determined signatures of admixture in Cx. p. pipens populations but not in Cx. p. molestus populations. Comparison of mitochondrial genomes among the specimens showed a paraphyletic origin of the major haplogroups between the subspecies but a monophyletic structure between the continents. Thus, our study identified that Cx. p. molestus and Cx. p. pipiens represent different evolutionary units with monophyletic origin that have undergone incipient ecological speciation.	SCI REP-UK	2020	10.1038/s41598-020-63305-z	Insects	Diptera	Culex	TRUE	TRUE	no stats of interest	TRUE	ADMIXTURE, phylogentic approaches, sequence similarity	WGS	TRUE
Lamichhaney, S; Han, F; Webster, MT; Grant, BR; Grant, PR; Andersson, L	Female-biased gene flow between two species of Darwin's finches	NATURE ECOLOGY & EVOLUTION		By analysing pooled whole-genome sequences from two species of Darwin's finches, both before and after interbreeding and back-crossing, the authors show that gene exchange between the two species is asymmetric and female biased. The mosaic nature of hybrid genomes is well recognized, but little is known of how they are shaped initially by patterns of breeding, selection, recombination and differential incompatibilities. On the small Galapagos island of Daphne Major, two species of Darwin's finches, Geospiza fortis and G. scandens, hybridize rarely and back-cross bidirectionally with little or no loss of fitness under conditions of plentiful food. We used whole-genome sequences to compare genomes from periods before and after successful interbreeding followed by back-crossing. We inferred extensive introgression from G. fortis to G. scandens on autosomes and mitochondria but not on the Z chromosome. The unique combination of long-term field observations and genomic data shows that the reduction of gene flow for Z-linked loci primarily reflects female-biased gene flow, arising from a hybrid-male disadvantage in competition for high-quality territories and mates, rather than from genetic incompatibilities at Z-linked loci.	NAT ECOL EVOL	2020	10.1038/s41559-020-1183-9	Birds	Passeriformes	Geospiza	TRUE	TRUE	no stats of interest	TRUE	phylogentic approaches, sequence similarity, PCA	WGS	TRUE
Iragaba, P; Kawuki, RS; Bauchet, G; Ramu, P; Tufan, HA; Earle, ED; Gore, MA; Wolfe, M	Genomic characterization of Ugandan smallholder farmer-preferred cassava varieties	CROP SCIENCE		Understanding the genetic relationships among farmer-preferred cassava (Manihot esculenta Crantz) varieties is indispensable to genetic improvement efforts. In this study, we present a genetic analysis of 547 samples of cassava grown by 192 smallholder farmers, which were sampled at random within four districts in Uganda. We genotyped these samples at 287,952 single nucleotide polymorphisms using genotyping-by-sequencing and co-analyzed them with 349 cassava samples from the national breeding program in Uganda. The samples collected from smallholders consisted of 86 genetically unique varieties, as assessed using a genetic distance-based approach. Of these varieties, most were cultivated in only one district (30 in Kibaale, 19 in Masindi, 14 in Arua, and three in Apac), and only three were cultivated across all districts. The genetic differentiation we observed among farming districts in Uganda (mean fixation index [F-ST] = .003) is similar to divergence observed within other countries. Despite the fact that none of the breeding lines were directly observed in farmer fields, genetic divergence between the populations was low (F-ST = .020). Interestingly, we detected the presence of introgressions from the wild relative M. glaziovii Mull. Arg. on chromosomes 1 and 4, which implies ancestry with cassava breeding lines. Given the apparently similar pool of alleles in the breeding germplasm, it is likely that breeders have the raw genetic material they require to match the farmer-preferred trait combinations necessary for adoption. Our study highlights the importance of understanding the genetic makeup of cassava currently grown by smallholder farmers and relative to that of plant breeding germplasm.	CROP SCI	2020	10.1002/csc2.20152	Plants	Malpighiales	Manihot	TRUE	TRUE	no stats of interest	TRUE	ADMIXTURE, sequence similarity	GBS	TRUE
Terletskaya, NV; Shcherban, AB; Nesterov, MA; Perfil'ev, RN; Salina, EA; Altayeva, NA; Blavachinskaya, IV	Drought Stress Tolerance and Photosynthetic Activity of Alloplasmic Lines T. dicoccum x T. aestivum	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	alloplasmic wheat lines; drought tolerance; photosynthesis; DREB; orf256; rps19-p genes; SSR	Tetraploid species T. dicoccum Shuebl is a potential source of drought tolerance for cultivated wheat, including common wheat. This paper describes the genotyping of nine stable allolines isolated in the offspring from crossing of T. dicoccum x T. aestivum L. using 21 microsatellite (simple sequence repeats-SSR) markers and two cytoplasmic mitochondrial markers to orf256, rps19-p genes; evaluation of drought tolerance of allolines at different stages of ontogenesis (growth parameters, relative water content, quantum efficiency of Photosystem II, electron transport rate, energy dissipated in Photosystem II); and the study of drought tolerance regulator gene Dreb-1 with allele-specific PCR (AS-MARKER) and partial sequence analysis. Most allolines differ in genomic composition and T. dicoccum introgressions. Four allolines-D-b-05, D-d-05, D-d-05b, and D-41-05-revealed signs of drought tolerance of varying degrees. The more drought tolerant D-41-05 line was also characterized by Dreb-B1 allele introgression from T. dicoccum. A number of non-specific patterns and significant differences in allolines in regulation of physiological parameters in drought conditions is identified. Changes in photosynthetic activity in stress-drought are shown to reflect the level of drought tolerance of the forms studied. The contribution of different combinations of nuclear/cytoplasmic genome and alleles of Dreb-1 gene in allolines to the formation of stress tolerance and photosynthetic activity is discussed.	INT J MOL SCI	2020	10.3390/ijms21093356	Plants	Poales	Triticum	TRUE	TRUE	SSR markers	TRUE	phylogentic approaches	Sanger	TRUE
Chaturvedi, S; Lucas, LK; Buerkle, CA; Fordyce, JA; Forister, ML; Nice, CC; Gompert, Z	Recent hybrids recapitulate ancient hybrid outcomes	NATURE COMMUNICATIONS		Genomic outcomes of hybridization depend on selection and recombination in hybrids. Whether these processes have similar effects on hybrid genome composition in contemporary hybrid zones versus ancient hybrid lineages is unknown. Here we show that patterns of introgression in a contemporary hybrid zone in Lycaeides butterflies predict patterns of ancestry in geographically adjacent, older hybrid populations. We find a particularly striking lack of ancestry from one of the hybridizing taxa, Lycaeides melissa, on the Z chromosome in both the old and contemporary hybrids. The same pattern of reduced L. melissa ancestry on the Z chromosome is seen in two other ancient hybrid lineages. More generally, we find that patterns of ancestry in old or ancient hybrids are remarkably predictable from contemporary hybrids, which suggests selection and recombination affect hybrid genomes in a similar way across disparate time scales and during distinct stages of speciation and species breakdown. Hybrid genomes provide a window into the speciation process over time. Here, Chaturvedi et al. use Lycaeides butterflies from hybrid zones of different ages to show that selection and recombination have repeatable effects on hybrid genome composition across timescales.	NAT COMMUN	2020	10.1038/s41467-020-15641-x	Insects	Lepidoptera	Plebejus	TRUE	TRUE	reported values in windows	TRUE	fd, phylogentic approaches, cline analyses, sequence similairty, clines	GBS	TRUE
Crowl, AA; Manos, PS; McVay, JD; Lemmon, AR; Lemmon, EM; Hipp, AL	Uncovering the genomic signature of ancient introgression between white oak lineages (Quercus)	NEW PHYTOLOGIST	anchored hybrid enrichment; ancient introgression; gene flow; hybridisation; phylogenetic network; phylogenomics; Quercus; white oaks	Botanists have long recognised interspecific gene flow as a common occurrence within white oaks (Quercus section Quercus). Historical allele exchange, however, has not been fully characterised and the complex genomic signals resulting from the combination of vertical and horizontal gene transmission may confound phylogenetic inference and obscure our ability to accurately infer the deep evolutionary history of oaks. Using anchored enrichment, we obtained a phylogenomic dataset consisting of hundreds of single-copy nuclear loci. Concatenation, species-tree and network analyses were carried out in an attempt to uncover the genomic signal of ancient introgression and infer the divergent phylogenetic topology for the white oak clade. Locus and site-level likelihood comparisons were then conducted to further explore the introgressed signal within our dataset. Historical, intersectional gene flow is suggested to have occurred between an ancestor of the Eurasian Roburoid lineage and Quercus pontica and North American Dumosae and Prinoideae lineages. Despite extensive time past, our approach proved successful in detecting the genomic signature of ancient introgression. Our results, however, highlight the importance of sampling and the use of a plurality of analytical tools and methods to sufficiently explore genomic datasets, uncover this signal, and accurately infer evolutionary history.	NEW PHYTOL	2019	10.1111/nph.15842	Plants	Fagales	Quercus	TRUE	TRUE	no stats of interest	TRUE	phylogentic approaches, sequence similarity	Sanger	TRUE
Hipp, AL; Manos, PS; Hahn, M; Avishai, M; Bodenes, C; Cavender-Bares, J; Crowl, AA; Deng, M; Denk, T; Fitz-Gibbon, S; Gailing, O; Gonzalez-Elizondo, MS; Gonzalez-Rodriguez, A; Grimm, GW; Jiang, XL; Kremer, A; Lesur, I; McVay, JD; Plomion, C; Rodriguez-Correa, H; Schulze, ED; Simeone, MC; Sork, VL; Valencia-Avalos, S	Genomic landscape of the global oak phylogeny	NEW PHYTOLOGIST	diversification rates; genomic mosaicism; introgression; oaks; phylogenomics; Quercus; restriction-site associated DNA sequencing (RAD-seq); tree diversity	The tree of life is highly reticulate, with the history of population divergence emerging from populations of gene phylogenies that reflect histories of introgression, lineage sorting and divergence. In this study, we investigate global patterns of oak diversity and test the hypothesis that there are regions of the oak genome that are broadly informative about phylogeny. We utilize fossil data and restriction-site associated DNA sequencing (RAD-seq) for 632 individuals representing nearly 250 Quercus species to infer a time-calibrated phylogeny of the world's oaks. We use a reversible-jump Markov chain Monte Carlo method to reconstruct shifts in lineage diversification rates, accounting for among-clade sampling biases. We then map the > 20 000 RAD-seq loci back to an annotated oak genome and investigate genomic distribution of introgression and phylogenetic support across the phylogeny. Oak lineages have diversified among geographic regions, followed by ecological divergence within regions, in the Americas and Eurasia. Roughly 60% of oak diversity traces back to four clades that experienced increases in net diversification, probably in response to climatic transitions or ecological opportunity. The strong support for the phylogeny contrasts with high genomic heterogeneity in phylogenetic signal and introgression. Oaks are phylogenomic mosaics, and their diversity may in fact depend on the gene flow that shapes the oak genome.	NEW PHYTOL	2019	10.1111/nph.16162	Plants	Fagales	Quercus	TRUE	TRUE	no stats of interest	TRUE	phylogentic approaches	RAD	TRUE
Vendrami, DLJ; De Noia, M; Telesca, L; Brodte, EM; Hoffman, JI	Genome-wide insights into introgression and its consequences for genome-wide heterozygosity in the Mytilus species complex across Europe	EVOLUTIONARY APPLICATIONS	genetic variation; genome-wide heterozygosity; hybridization; introgression; Mytilus; Restriction site-associated DNA sequencing (RAD sequencing); stock structure	The three mussel species comprising the Mytilus complex are widespread across Europe and readily hybridize when they occur in sympatry, resulting in a mosaic of populations with varying genomic backgrounds. Two of these species, M. edulis and M. galloprovincialis, are extensively cultivated across Europe, with annual production exceeding 230,000 tonnes. The third species, M. trossulus, is considered commercially damaging as hybridization with this species results in weaker shells and poor meat quality. We therefore used restriction site associated DNA sequencing to generate high-resolution insights into the structure of the Mytilus complex across Europe and to resolve patterns of introgression. Inferred species distributions were concordant with the results of previous studies based on smaller numbers of genetic markers, with M. edulis and M. galloprovincialis predominating in northern and southern Europe respectively, while introgression between these species was most pronounced in northern France and the Shetland Islands. We also detected traces of M. trossulus ancestry in several northern European populations, especially around the Baltic and in northern Scotland. Finally, genome-wide heterozygosity, whether quantified at the population or individual level, was lowest in M. edulis, intermediate in M. galloprovincialis, and highest in M. trossulus, while introgression was positively associated with heterozygosity in M. edulis but negatively associated with heterozygosity in M. galloprovincialis. Our study will help to inform mussel aquaculture by providing baseline information on the genomic backgrounds of different Mytilus populations across Europe and by elucidating the effects of introgression on genome-wide heterozygosity, which is known to influence commercially important traits such as growth, viability, and fecundity in mussels.	EVOL APPL	2020	10.1111/eva.12974	Molluscs	Mytilida	Mytilus	TRUE	TRUE	no stats of interest	TRUE	STRUCTURE-like program, PCA, sequence similarity, trees	RAD	TRUE
Moreno-Letelier, A; Aguirre-Liguori, JA; Pinero, D; Vazquez-Lobo, A; Eguiarte, LE	The relevance of gene flow with wild relatives in understanding the domestication process	ROYAL SOCIETY OPEN SCIENCE	domestication; gene flow; introgression; maize; Mexico; teosinte	The widespread use of genomic tools has allowed for a deeper understanding of the genetics and the evolutionary dynamics of domestication. Recent studies have suggested that multiple domestications and introgression are more common than previously thought. However, the ability to correctly infer the many aspects of domestication process depends on having an adequate representation of wild relatives. Cultivated maize (Zea mays ssp. mays) is one of the most important crops in the world, with a long and a relatively well-documented history of domestication. The current consensus points towards a single domestication event from teosinte Zea mays ssp. parviglumis from the Balsas Basin in Southwestern Mexico. However, the underlying diversity of teosintes from Z. mays ssp. parviglumis and Zea mays ssp. mexicana was not taken into account in early studies. We used 32 739 single nucleotide polymorphisms (SNPs) obtained from 29 teosinte populations and 43 maize landraces to explore the relationship between wild and cultivated members of Zea. We then inferred the levels of gene flow among teosinte populations and maize, the degree of population structure of Zea mays subspecies, and the potential domestication location of maize. We confirmed a strong geographic structure within Z. mays ssp. parviglumis and documented multiple gene flow events with other members of the genus, including an event between Z. mays ssp. mexicana and maize. Our results suggest that the likely ancestor of maize may have been domesticated in Jalisco or in the southern Pacific Coast and not in the Balsas Basin as previously thought. In this context, different populations of both teosinte subspecies have contributed to modern maize's gene pool. Our results point towards a long period of domestication marked by gene flow with wild relatives, confirming domestication as long and ongoing process.	ROY SOC OPEN SCI	2020	10.1098/rsos.191545	Plants	Poales	Zea	TRUE	TRUE	no stats of interest	TRUE	FASTSTRUCTURE, phylogentic approaches, PCA	snp array, GBS	TRUE
Bariah, I; Keidar-Friedman, D; Kashkush, K	Identification and characterization of large-scale genomic rearrangements during wheat evolution	PLOS ONE		Following allopolyploidization, nascent polyploid wheat species react with massive genomic rearrangements, including deletion of transposable element-containing sequences. While such massive rearrangements are considered to be a prominent process in wheat genome evolution and speciation, their structure, extent, and underlying mechanisms remain poorly understood. In this study, we retrieved similar to 3500 insertions of a specific variant of Fatima, one of the most dynamic gypsy long-terminal repeat retrotransposons in wheat from the recently available high-quality genome drafts of Triticum aestivum (bread wheat) and Triticum turgidum ssp. dicoccoides or wild emmer, the allotetraploid mother of all modern wheats. The dynamic nature of Fatima facilitated the identification of large (i.e., up to similar to 1 million bases) Fatima-containing insertions/deletions (indels) upon comparison of bread wheat and wild emmer genomes. We characterized 11 such indels using computer-assisted analysis followed by PCR validation, and found that they might have occurred via unequal intra-strand recombination or double-strand break (DSB) events. Additionally, we observed one case of introgression of novel DNA fragments from an unknown source into the wheat genome. Our data thus indicate that massive large-scale DNA rearrangements might play a prominent role in wheat speciation.	PLOS ONE	2020	10.1371/journal.pone.0231323	Plants	Poales	Triticum	TRUE	TRUE	no stats of interest	TRUE	sequence similarity	WGS	TRUE
Lapegue, S; Heurtebise, S; Cornette, F; Guichoux, E; Gagnaire, PA	Genetic Characterization of Cupped Oyster Resources in Europe Using Informative Single Nucleotide Polymorphism (SNP) Panels	GENES	cupped oysters; population genetics; introgression; conservation; shellfisheries	The Pacific oyster, Crassostrea gigas, was voluntarily introduced from Japan and British Columbia into Europe in the early 1970s, mainly to replace the Portuguese oyster, Crassostrea angulata, in the French shellfish industry, following a severe disease outbreak. Since then, the two species have been in contact in southern Europe and, therefore, have the potential to exchange genes. Recent evolutionary genomic works have provided empirical evidence that C. gigas and C. angulata exhibit partial reproductive isolation. Although hybridization occurs in nature, the rate of interspecific gene flow varies across the genome, resulting in highly heterogeneous genome divergence. Taking this biological property into account is important to characterize genetic ancestry and population structure in oysters. Here, we identified a subset of ancestry-informative makers from the most differentiated regions of the genome using existing genomic resources. We developed two different panels in order to (i) easily differentiate C. gigas and C. angulata, and (ii) describe the genetic diversity and structure of the cupped oyster with a particular focus on French Atlantic populations. Our results confirm high genetic homogeneity among Pacific cupped oyster populations in France and reveal several cases of introgressions between Portuguese and Japanese oysters in France and Portugal.	GENES-BASEL	2020	10.3390/genes11040451	Mollusc	Ostreida	Crassostrea	TRUE	TRUE	no stats of interest	TRUE	STRUCTURE, sequence similarity	RAD	TRUE
Cavassim, MIA; Moeskjaer, S; Moslemi, C; Fields, B; Bachmann, A; Vilhjalmsson, BJ; Schierup, MH; Young, JPW; Andersen, SU	Symbiosis genes show a unique pattern of introgression and selection within a Rhizobium leguminosarum species complex	MICROBIAL GENOMICS	rhizobia; white clover; genome assembly; introgression; conjugation; symbiosis	Rhizobia supply legumes with fixed nitrogen using a set of symbiosis genes. These can cross rhizobium species boundaries, but it is unclear how many other genes show similar mobility. Here, we investigate inter-species introgression using de novo assembly of 196 Rhizobium leguminosarum sv. trifolii genomes. The 196 strains constituted a five-species complex, and we calculated introgression scores based on gene-tree traversal to identify 171 genes that frequently cross species boundaries. Rather than relying on the gene order of a single reference strain, we clustered the introgressing genes into four blocks based on population structure-corrected linkage disequilibrium patterns. The two largest blocks comprised 125 genes and included the symbiosis genes, a smaller block contained 43 mainly chromosomal genes, and the last block consisted of three genes with variable genomic location. All introgression events were likely mediated by conjugation, but only the genes in the symbiosis linkage blocks displayed overrepresentation of distinct, high-frequency haplotypes. The three genes in the last block were core genes essential for symbiosis that had, in some cases, been mobilized on symbiosis plasmids. Inter-species introgression is thus not limited to symbiosis genes and plasmids, but other cases are infrequent and show distinct selection signatures.	MICROB GENOMICS	2020	10.1099/mgen.0.000351	Bacteria	Rhizobiales	Rhizobium	TRUE	TRUE	no stats of interest	TRUE	introgression scores, phylogentic approaches, sequence similarity	WGS	TRUE
Gauthier, J; de Silva, DL; Gompert, Z; Whibley, A; Houssin, C; Le Poul, Y; McClure, M; Lemaitre, C; Legeai, F; Mallet, J; Elias, M	Contrasting genomic and phenotypic outcomes of hybridization between pairs of mimetic butterfly taxa across a suture zone	MOLECULAR ECOLOGY	admixture mapping; differentiation; hybridization; introgression; Ithomiini; mimicry	Hybrid zones, whereby divergent lineages come into contact and eventually hybridize, can provide insights on the mechanisms involved in population differentiation and reproductive isolation, and ultimately speciation. Suture zones offer the opportunity to compare these processes across multiple species. In this paper we use reduced-complexity genomic data to compare the genetic and phenotypic structure and hybridization patterns of two mimetic butterfly species, Ithomia salapia and Oleria onega (Nymphalidae: Ithomiini), each consisting of a pair of lineages differentiated for their wing colour pattern and that come into contact in the Andean foothills of Peru. Despite similarities in their life history, we highlight major differences, both at the genomic and phenotypic level, between the two species. These differences include the presence of hybrids, variations in wing phenotype, and genomic patterns of introgression and differentiation. In I. salapia, the two lineages appear to hybridize only rarely, whereas in O. onega the hybrids are not only more common, but also genetically and phenotypically more variable. We also detected loci statistically associated with wing colour pattern variation, but in both species these loci were not over-represented among the candidate barrier loci, suggesting that traits other than wing colour pattern may be important for reproductive isolation. Our results contrast with the genomic patterns observed between hybridizing lineages in the mimetic Heliconius butterflies, and call for a broader investigation into the genomics of speciation in Ithomiini - the largest radiation of mimetic butterflies.	MOL ECOL	2020	10.1111/mec.15403	Insects	Lepidoptera	Ithomia, Oleria	TRUE	TRUE	no stats of interest	TRUE	STRUCTURE, phylogentic approaches, cline analysis	GBS	TRUE
Redmond, SN; Sharma, A; Sharakhov, I; Tu, ZJ; Sharakhova, M; Neafsey, DE	Linked-read sequencing identifies abundant microinversions and introgression in the arboviral vector Aedes aegypti	BMC BIOLOGY	Structural variation; Chromosomal inversions; Introgression; Aedes aegypti	Background Aedes aegypti is the principal mosquito vector of Zika, dengue, and yellow fever viruses. Two subspecies of Ae. aegypti exhibit phenotypic divergence with regard to habitat, host preference, and vectorial capacity. Chromosomal inversions have been shown to play a major role in adaptation and speciation in dipteran insects and would be of great utility for studies of Ae. aegypti. However, the large and highly repetitive genome of Ae. aegypti makes it difficult to detect inversions with paired-end short-read sequencing data, and polytene chromosome analysis does not provide sufficient resolution to detect chromosome banding patterns indicative of inversions. Results To characterize chromosomal diversity in this species, we have carried out deep Illumina sequencing of linked-read (10X Genomics) libraries in order to discover inversion loci as well as SNPs. We analyzed individuals from colonies representing the geographic limits of each subspecies, one contact zone between subspecies, and a closely related sister species. Despite genome-wide SNP divergence and abundant microinversions, we do not find any inversions occurring as fixed differences between subspecies. Many microinversions are found in regions that have introgressed and have captured genes that could impact behavior, such as a cluster of odorant-binding proteins that may play a role in host feeding preference. Conclusions Our study shows that inversions are abundant and widely shared among subspecies of Aedes aegypti and that introgression has occurred in regions of secondary contact. This library of 32 novel chromosomal inversions demonstrates the capacity for linked-read sequencing to identify previously intractable genomic rearrangements and provides a foundation for future population genetics studies in this species.	BMC BIOL	2020	10.1186/s12915-020-0757-y	Insects	Diptera	Aedes	TRUE	TRUE	did not report values only plotted 	TRUE	D stat, fd, sequence similarity	WGS	TRUE
Hessenauer, P; Fijarczyk, A; Martin, H; Prunier, J; Charron, G; Chapuis, J; Bernier, L; Tanguay, P; Hamelin, RC; Landry, CR	Hybridization and introgression drive genome evolution of Dutch elm disease pathogens	NATURE ECOLOGY & EVOLUTION		Genome analysis of fungi responsible for Dutch elm disease shows that introgression has contributed to genomic diversity and has impacted fitness-related traits in these pathogens. Hybridization and the resulting introgression can drive the success of invasive species via the rapid acquisition of adaptive traits. The Dutch elm disease pandemics in the past 100 years were caused by three fungal lineages with permeable reproductive barriers: Ophiostoma ulmi, Ophiostoma novo-ulmi subspecies novo-ulmi and Ophiostoma novo-ulmi subspecies americana. Using whole-genome sequences and growth phenotyping of a worldwide collection of isolates, we show that introgression has been the main driver of genomic diversity and that it impacted fitness-related traits. Introgressions contain genes involved in host-pathogen interactions and reproduction. Introgressed isolates have enhanced growth rate at high temperature and produce different necrosis sizes on an in vivo model for pathogenicity. In addition, lineages diverge in many pathogenicity-associated genes and exhibit differential mycelial growth in the presence of a proxy of a host defence compound, implying an important role of host trees in the molecular and functional differentiation of these pathogens.	NAT ECOL EVOL	2020	10.1038/s41559-020-1133-6	Fungi	Ophiostomatales	Ophiostoma	TRUE	TRUE	did not report values only plotted 	TRUE	STRUCTURE, sequence similarity, trees, D stat, PCA	WGS	TRUE
Wang, J; Liu, CK; Chen, J; Bai, Y; Wang, KJ; Wang, YB; Fang, MY	Genome-Wide Analysis Reveals Human-Mediated Introgression from Western Pigs to Indigenous Chinese Breeds	GENES	pigs; genome-wide variation; introgression; artificial selection	Genetic variations introduced via introgression from Western to Chinese pigs have contributed to the performance of Chinese breeds in traits such as growth rate and feed conversion efficiency. However, little is known about the underlying genomic changes that occurred during introgression and the types of traits affected by introgression. To address these questions, 525 animals were characterized using an SNP array to detect genomic regions that had been introgressed from European to indigenous Chinese breeds. The functions of genes located in introgressed regions were also investigated. Our data show that five out of six indigenous Chinese breeds show evidence of introgression from Western pigs, and eight introgressed genome regions are shared by five of the Chinese breeds. A region located on chr13: 12.8-13.1 M was affected by both introgression and artificial selection, and this region contains the glucose absorption related gene, OXSM, and the sensory related gene, NGLY. The results provide a foundation for understanding introgression from Western to indigenous Chinese pigs.	GENES-BASEL	2020	10.3390/genes11030275	Mammals	Artiodactyla	Sus	TRUE	TRUE	unclear population/species labels in Table 2	TRUE	STRUCTURE, D, fD, trees	WGS	TRUE
