Authors	Title	Journal	Abstract	Print Year	DOI	Taxon	Order	Genus (or number of)	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	Data type (amplicon, microsat, sanger, WGS, RAD, transcriptome, exome)	Spot-checked
Semenov, Georgy A.; Scordato, Elizabeth S. C.; Khaydarov, David R.; Smith, Chris C. R.; Kane, Nolan C.; Safran, Rebecca J.	Effects of assortative mate choice on the genomic and morphological structure of a hybrid zone between two bird subspecies	MOLECULAR ECOLOGY	Phenotypic differentiation plays an important role in the formation and maintenance of reproductive barriers. In some cases, variation in a few key aspects of phenotype can promote and maintain divergence; hence, the identification of these traits and their associations with patterns of genomic divergence is crucial for understanding the patterns and processes of population differentiation. We studied hybridization between the alba and personata subspecies of the white wagtail (Motacilla alba), and quantified divergence and introgression of multiple morphological traits and 19,437 SNP loci on a 3,000 km transect. Our goal was to identify traits that may contribute to reproductive barriers and to assess how variation in these traits corresponds to patterns of genome-wide divergence. Variation in only one trait-head plumage patterning-was consistent with reproductive isolation. Transitions in head plumage were steep and occurred over otherwise morphologically and genetically homogeneous populations, whereas cline centres for other traits and genomic ancestry were displaced over 100 km from the head cline. Field observational data show that social pairs mated assortatively by head plumage, suggesting that these phenotypes are maintained by divergent mating preferences. In contrast, variation in all other traits and genetic markers could be explained by neutral diffusion, although weak ecological selection cannot be ruled out. Our results emphasize that assortative mating may maintain phenotypic differences independent of other processes shaping genome-wide variation, consistent with other recent findings that raise questions about the relative importance of mate choice, ecological selection and selectively neutral processes for divergent evolution.	2017	10.1111/mec.14376	Birds	Passeriformes	Motacilla	TRUE	TRUE	no stats	TRUE	clinal, STRUCTURE, morphology	GBS (19437)	TRUE
Winger, BM	Consequences of divergence and introgression for speciation in Andean cloud forest birds	EVOLUTION	NA	2017	10.1111/evo.13251	Birds	Passeriformes	Iridosornis	TRUE	FALSE	NA	TRUE	Patterson's D, STRUCTURE, treemix, morphology	GBS (55000 loci +-)	TRUE
Walsh, Jennifer; Kovach, Adrienne I.; Olsen, Brian J.; Shriver, W. Gregory; Lovette, Irby J.	Bidirectional adaptive introgression between two ecologically divergent sparrow species	EVOLUTION	Natural hybrid zones can be used to dissect the mechanisms driving key evolutionary processes by allowing us to identify genomic regions important for establishing reproductive isolation and that allow for transfer of adaptive variation. We leverage whole-genome data in a system where two bird species, the saltmarsh (Ammospiza caudacuta) and Nelson's (A. nelsoni) sparrow, hybridize despite their relatively high background genetic differentiation and past ecological divergence. Adaptive introgression is plausible in this system because Nelson's sparrows are recent colonists of saltwater marshes, compared to the specialized saltmarsh sparrow that has a longer history of saltmarsh adaptation. Comparisons among whole-genome sequences of 34 individuals from allopatric and sympatric populations show that ongoing gene flow is shaping the genomic landscape, with allopatric populations exhibiting genome-wide F-ST estimates close to double of that observed in sympatry. We characterized patterns of introgression across the genome and identify regions that exhibit biased introgression into hybrids from one parental species. These regions offer compelling candidates for genes related to tidal marsh adaptations suggesting that adaptive introgression may be an important consequence of hybridization. These findings highlight the value of considering the landscapes of both genome-wide introgression and divergence when characterizing the evolutionary forces that drive speciation.	2018	10.1111/evo.13581	Birds	Passeriformes	Ammospiza	TRUE	FALSE	NA	TRUE	fD, PCA, ADMIXTURE, sequence similarity, f3,	WGS (5587084 loci)	TRUE
Battey, CJ	Evidence of linked selection on the Z chromosome of hybridizing hummingbirds	EVOLUTION	NA	2020	10.1111/evo.13888	Birds	Apodiformes	Selasphorus	TRUE	FALSE	NA	TRUE	treemix, Patterson's D	RAD (14416 loci), WGS (5688922 loci)	TRUE
Beckman, EJ; Benham, PM; Cheviron, ZA; Witt, CC	Detecting introgression despite phylogenetic uncertainty: The case of the South American siskins	MOLECULAR ECOLOGY	NA	2018	10.1111/mec.14795	Birds	Passeriformes	Spinus	TRUE	TRUE	no raw D-stats	TRUE	PCA, ADMIXTURE, Patterson's D, f4	GBS (27,460 loci), mtDNA (3 genes)	TRUE
Lavretsky, P; Janzen, T; McCracken, KG	Identifying hybrids & the genomics of hybridization: Mallards & American black ducks of Eastern North America	ECOLOGY AND EVOLUTION	NA	2019	10.1002/ece3.4981	Birds	Anseriformes	Anatidae	TRUE	TRUE	no D-stats	TRUE	CLUMPP, ADMIXTURE, ancestry hmm, sequence similarity,	RAD (3200 loci), mtDNA (1 gene)	TRUE
Schweizer, Manuel; Warmuth, Vera; Kakhki, Niloofar Alaei; Aliabadian, Mansour; Foerschler, Marc; Shirihai, Hadoram; Suh, Alexander; Burri, Reto	Parallel plumage colour evolution and introgressive hybridization in wheatears	JOURNAL OF EVOLUTIONARY BIOLOGY	Genetic and phenotypic mosaics, in which various phenotypes and different genomic regions show discordant patterns of species or population divergence, offer unique opportunities to study the role of ancestral and introgressed genetic variation in phenotypic evolution. Here, we investigated the evolution of discordant phenotypic and genetic divergence in a monophyletic clade of four songbird taxa-pied wheatear (O. pleschanka), Cyprus wheatear (Oenanthe cypriaca), and western and eastern subspecies of black-eared wheatear (O. h. hispanica and O. h. melanoleuca). Phenotypically, black back and neck sides distinguish pied and Cyprus wheatears from the white-backed/necked black-eared wheatears. Meanwhile, mitochondrial variation only distinguishes western black-eared wheatear. In the absence of nuclear genetic data, and given frequent hybridization among eastern black-eared and pied wheatear, it remains unclear whether introgression is responsible for discordance between mitochondrial divergence patterns and phenotypic similarities, or whether plumage coloration evolved in parallel. Multispecies coalescent analyses of about 20,000 SNPs obtained from RAD data mapped to a draft genome assembly resolve the species tree, provide evidence for the parallel evolution of colour phenotypes and establish western and eastern black-eared wheatears as independent taxa that should be recognized as full species. The presence of the entire admixture spectrum in the Iranian hybrid zone and the detection of footprints of introgression from pied into eastern black-eared wheatear beyond the hybrid zone despite strong geographic structure of ancestry proportions furthermore suggest a potential role for introgression in parallel plumage colour evolution. Our results support the importance of standing heterospecific and/or ancestral variation in phenotypic evolution.	2019	10.1111/jeb.13401	Birds	Passeriformes	Oenantha	TRUE	FALSE	NA	TRUE	PCA, ADMIXTURE, Patterson's D, treemix	RAD (27334 loci)	TRUE
Irwin, Darren E.; Mila, Borja; Toews, David P. L.; Brelsford, Alan; Kenyon, Haley L.; Porter, Alison N.; Grossen, Christine; Delmore, Kira E.; Alcaide, Miguel; Irwin, Jessica H.	A comparison of genomic islands of differentiation across three young avian species pairs	MOLECULAR ECOLOGY	Detailed evaluations of genomic variation between sister species often reveal distinct chromosomal regions of high relative differentiation (i.e., "islands of differentiation" in F-ST), but there is much debate regarding the causes of this pattern. We briefly review the prominent models of genomic islands of differentiation and compare patterns of genomic differentiation in three closely related pairs of New World warblers with the goal of evaluating support for the four models. Each pair (MacGillivray's/mourning warblers; Townsend's/black-throated green warblers; and Audubon's/myrtle warblers) consists of forms that were likely separated in western and eastern North American refugia during cycles of Pleistocene glaciations and have now come into contact in western Canada, where each forms a narrow hybrid zone. We show strong differences between pairs in their patterns of genomic heterogeneity in F-ST, suggesting differing selective forces and/or differing genomic responses to similar selective forces among the three pairs. Across most of the genome, levels of within-group nucleotide diversity (pi(Within)) are almost as large as levels of between-group nucleotide distance (pi(Between)) within each pair, suggesting recent common ancestry and/or gene flow. In two pairs, a pattern of the F-ST peaks having low pi(Between) suggests that selective sweeps spread between geographically differentiated groups, followed by local differentiation. This "sweep-before-differentiation" model is consistent with signatures of gene flow within the yellow-rumped warbler species complex. These findings add to our growing understanding of speciation as a complex process that can involve phases of adaptive introgression among partially differentiated populations.	2018	10.1111/mec.14858	Birds	Passeriformes	Geothlypis, Setophaga	TRUE	FALSE	NA	TRUE	sequence similarity, PCA, D stats	GBS (480714 loci)	TRUE
Elgvin, TO; Trier, CN; Torresen, OK; Hagen, IJ; Lien, S; Nederbragt, AJ; Ravinet, M; Jensen, H; Saetre, GP	The genomic mosaicism of hybrid speciation	SCIENCE ADVANCES	NA	2017	10.1126/sciadv.1602996	Birds	Passeriformes	Passer	TRUE	FALSE	NA	TRUE	PCA, ADMIXTURE, fastSTRUCTURE, sequence similarity, Patterson's D, fD	WGS (35867119 loci)	TRUE
Garg, KM; Sam, K; Chattopadhyay, B; Sadanandan, KR; Koane, B; Ericson, PGP; Rheindt, FE	Gene Flow in the Mullerian Mimicry Ring of a Poisonous Papuan Songbird Clade (Pitohui; Ayes)	GENOME BIOLOGY AND EVOLUTION	NA	2019	10.1093/gbe/evz168	Birds	Passeriformes	Pitohui	TRUE	FALSE	NA	TRUE	D stats, gene trees, PCA	RAD (5795 loci)	TRUE
Battey, CJ; Klicka, J	Cryptic speciation and gene flow in a migratory songbird Species Complex: Insights from the Red-Eyed Vireo (Vireo olivaceus)	MOLECULAR PHYLOGENETICS AND EVOLUTION	NA	2017	10.1016/j.ympev.2017.05.006	Birds	Passeriformes	Vireo	TRUE	TRUE	no raw ABBA/BABA stats	TRUE	D stats, gene trees, STRUCTURE	RAD (938 loci, 7799 loci)	TRUE
Ottenburghs, Jente; Megens, Hendrik-Jan; Kraus, Robert H. S.; van Hooft, Pim; van Wieren, Sipke E.; Crooijmans, Richard P. M. A.; Ydenberg, Ronald C.; Groenen, Martien A. M.; Prins, Herbert H. T.	A history of hybrids? Genomic patterns of introgression in the True Geese	BMC EVOLUTIONARY BIOLOGY	Background: The impacts of hybridization on the process of speciation are manifold, leading to distinct patterns across the genome. Genetic differentiation accumulates in certain genomic regions, while divergence is hampered in other regions by homogenizing gene flow, resulting in a heterogeneous genomic landscape. A consequence of this heterogeneity is that genomes are mosaics of different gene histories that can be compared to unravel complex speciation and hybridization events. However, incomplete lineage sorting (often the outcome of rapid speciation) can result in similar patterns. New statistical techniques, such as the D-statistic and hybridization networks, can be applied to disentangle the contributions of hybridization and incomplete lineage sorting. We unravel patterns of hybridization and incomplete lineage sorting during and after the diversification of the True Geese (family Anatidae, tribe Anserini, genera Anser and Branta) using an exon-based hybridization network approach and taking advantage of discordant gene tree histories by re-sequencing all taxa of this clade. In addition, we determine the timing of introgression and reconstruct historical effective population sizes for all goose species to infer which demographic or biogeographic factors might explain the observed patterns of introgression. Results: We find indications for ancient interspecific gene flow during the diversification of the True Geese and were able to pinpoint several putative hybridization events. Specifically, in the genus Branta, both the ancestor of the White-cheeked Geese (Hawaiian Goose, Canada Goose, Cackling Goose and Barnacle Goose) and the ancestor of the Brent Goose hybridized with Red-breasted Goose. One hybridization network suggests a hybrid origin for the Red-breasted Goose, but this scenario seems unlikely and it not supported by the D-statistic analysis. The complex, highly reticulated evolutionary history of the genus Anser hampered the estimation of ancient hybridization events by means of hybridization networks. The reconstruction of historical effective population sizes shows that most species showed a steady increase during the Pliocene and Pleistocene. These large effective population sizes might have facilitated contact between diverging goose species, resulting in the establishment of hybrid zones and consequent gene flow. Conclusions: Our analyses suggest that the evolutionary history of the True Geese is influenced by introgressive hybridization. The approach that we have used, based on genome-wide phylogenetic incongruence and network analyses, will be a useful procedure to reconstruct the complex evolutionary histories of many naturally hybridizing species groups.	2017	10.1186/s12862-017-1048-2	Birds	Anseriformes	Anser	TRUE	FALSE	NA	TRUE	D stats, sequence similarity, networks	exome (5887 genes)	TRUE
Ravinet, M; Elgvin, TO; Trier, C; Aliabadian, M; Gavrilov, A; Saetre, GP	Signatures of human-commensalism in the house sparrow genome	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	NA	2018	10.1098/rspb.2018.1246	Birds	Passeriformes	Passer	TRUE	TRUE	no usable stats	TRUE	fD, ADMIXTURE, sequence similarity, demographic analysis	WGS (178286 loci)	TRUE
Ng, NSR; Wilton, PR; Prawiradilaga, DM; Tay, YC; Indrawan, M; Garg, KM; Rheindt, FE	The effects of Pleistocene climate change on biotic differentiation in a montane songbird Glade from Wallacea	MOLECULAR PHYLOGENETICS AND EVOLUTION	NA	2017	10.1016/j.ympev.2017.05.007	Birds	Passeriformes	Rhipidura	TRUE	FALSE	NA	TRUE	Patterson's D, PCA, trees	RAD (6650 loci)	TRUE
Lawal, Raman Akinyanju; Martin, Simon H.; Vanmechelen, Koen; Vereijken, Addie; Silva, Pradeepa; Al-Atiyat, Raed Mahmoud; Aljumaah, Riyadh Salah; Mwacharo, Joram M.; Wu, Dong-Dong; Zhang, Ya-Ping; Hocking, Paul M.; Smith, Jacqueline; Wragg, David; Hanotte, Olivier	The wild species genome ancestry of domestic chickens	BMC BIOLOGY	Background Hybridisation and introgression play key roles in the evolutionary history of animal species. They are commonly observed within several orders in wild birds. The domestic chicken Gallus gallus domesticus is the most common livestock species. More than 65 billion chickens are raised annually to produce meat and 80 million metric tons of egg for global human consumption by the commercial sector. Unravelling the origin of its genetic diversity has major application for sustainable breeding improvement programmes. Results In this study, we report genome-wide analyses for signatures of introgression between indigenous domestic village chicken and the four wild Gallus species. We first assess the genome-wide phylogeny and divergence time across the genus Gallus. Genome-wide sequence divergence analysis supports a sister relationship between the Grey junglefowl G. sonneratii and Ceylon junglefowl G. lafayettii. Both species form a clade that is sister to the Red junglefowl G. gallus, with the Green junglefowl G. varius the most ancient lineage within the genus. We reveal extensive bidirectional introgression between the Grey junglefowl and the domestic chicken and to a much lesser extent with the Ceylon junglefowl. We identify a single case of Green junglefowl introgression. These introgressed regions include genes with biological functions related to development and immune system. Conclusions Our study shows that while the Red junglefowl is the main ancestral species, introgressive hybridisation episodes have impacted the genome and contributed to the diversity of the domestic chicken, although likely at different levels across its geographic range.	2020	10.1186/s12915-020-0738-1	Birds	Galliformes	Gallus	TRUE	FALSE	NA	TRUE	Patterson's D, ADMIXTURE, twisst, demography, fD	WGS (91053192 loci)	TRUE
Rheindt, FE; Fujita, MK; Wilton, PR; Edwards, SV	Introgression and Phenotypic Assimilation in Zimmerius Flycatchers (Tyrannidae): Population Genetic and Phylogenetic Inferences from Genome-Wide SNPs	SYSTEMATIC BIOLOGY	NA	2014	10.1093/sysbio/syt070	Birds	Passeriformes	Zimmerius	TRUE	FALSE	NA	TRUE	D stats, PCA, STRUCTURE, trees	RAD (6736 loci)	TRUE
