P1	P2	P3	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2830754	-13.061018	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.2275448	-12.239624	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2423707	-11.849935	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2301954	-11.089765	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.2120629	-11.007246	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.19716	-10.817262	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2899847	-10.486668	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.4239069	-9.8690972	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2766063	-9.4709001	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.2161884	-9.0133298	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2298767	-6.8271761	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.1626683	-6.5274914	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.166235	-6.0752601	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.063115	-2.2625366	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.0520122	-2.2133323	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.038007	-2.1063662	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.0450624	-1.7750119	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.0354155	-1.5924465	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.0029359	-0.1775236	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	0.74404527	95.9768115	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	0.71548571	92.5937187	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.66048103	86.4651198	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.69729458	82.5081583	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.69726782	81.0355413	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	0.61962931	79.2921629	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	0.7073341	72.1504482	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	0.65644954	71.7916414	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.67956926	71.2367028	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	0.6513503	68.7482336	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	0.60996692	66.0691138	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	0.66943424	65.9657203	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	0.68752159	64.8915524	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.59409403	63.2166045	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.58150301	59.8185077	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.12332639	2.3395591	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.08767628	2.31131684	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Eleusine1)	Ascomycetes	Sordariomycetes	D	0.13336552	4.51922285	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Eleusine1)	Ascomycetes	Sordariomycetes	D	0.12938809	3.39947925	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Eleusine2)	Ascomycetes	Sordariomycetes	D	0.07059868	1.86785867	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Eragrostis)	Ascomycetes	Sordariomycetes	D	0.05233393	1.72783614	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	-0.1455193	-3.3960886	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	-0.1024223	-2.6347889	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	-0.1987365	-6.9502316	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	-0.1493305	-4.749697	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.3033716	-8.0135977	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.1282313	-4.6127466	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	-0.2829497	-12.027544	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	-0.2629381	-9.9264678	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.3842518	-14.069286	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.1949085	-6.7519515	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	-0.3385579	-12.070792	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	-0.2897557	-10.041511	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.04607	-1.8323135	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.4250332	-21.50461	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.1829373	-7.356351	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.2074928	-5.5431394	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.2417161	-7.1709621	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.1473262	-5.2184131	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.1364867	-4.3612335	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	-0.496621	-21.776362	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	-0.1704781	-7.6293242	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	-0.3312633	-14.613764	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	-0.0914494	-5.5268502	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	-0.1173308	-5.4956509	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	-0.3195914	-12.207723	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	-0.1471162	-6.247574	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	-0.0983249	-5.403312	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
