Species_1 (P1)	Species_2 (P2)	Species_3 (P3)	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Selasphorus sasin	Selasphorus sasin sedantarius	Selasphorus rufus	Chordata	Aves	D	0.0322	Z;14.8	RAD	https://doi.org/10.1111/evo.13888	AD	11/19/20		all pairwise	no	Z			
Selasphorus sasin sedantarius	Selasphorus sasin sedantarius	Selasphorus calliope	Chordata	Aves	D	0.00455	Z;1.99	RAD	https://doi.org/10.1111/evo.13888	AD	11/20/20		all pairwise	no	Z			
Selasphorus sasin sedantarius	Selasphorus sasin sedantarius	Selasphorus rufus	Chordata	Aves	D	0.0059	Z; 2.94	RAD	https://doi.org/10.1111/evo.13888	AD	11/21/20		all pairwise	no	Z			
Pitohui uropygialis	Pitohui kirhocephalus	Pitohui dichrous	Chordata	Aves	D	0.33	Y	RAD	https://academic.oup.com/gbe/article/11/8/2332/5550337	AD	11/21/20		specific configurations	no	NA			
Rhipidura teysmanni	Rhipidura teysmanni toradja	Rhipidura teysmanni tax nov	Chordata	Aves	D	0.21035	5.6656e−5	RAD	https://doi.org/10.1016/j.ympev.2017.05.007	AD			specific configurations	no	P	intraspecies		
Rhipidura teysmanni toradja	Rhipidura teysmanni tax nov	Rhipidura teysmanni sulaensis	Chordata	Aves	D	0.22776	1.2027e−4	RAD	https://doi.org/10.1016/j.ympev.2017.05.007	AD			specific configurations	no	P	intraspecies		
Zimmerius viridiflavus	Zimmerius viridiflavus	Zimmerius chrysops	Chordata	Aves	D	0.092	0.0033	RAD	https://academic.oup.com/sysbio/article/63/2/134/1642809	AD			specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0373	0.0273	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0558	0.0468	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0686	0.0108	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0605	0.0255	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0697	0.0038	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0657	0.0094	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0529	0.0425	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0638	0.0126	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	D	0.0601	0.0272	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0116	0.0273	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0181	0.0468	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0216	0.0108	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0184	0.0255	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0213	0.0038	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0211	0.0094	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0165	0.0425	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0195	0.0126	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Acridotheres melanopterus	Acridotheres tertius	Acridotheres javanicus	Chordata	Aves	fg	0.0183	0.0272	RAD	10.1038/s41598-020-72428-2	DP	1Mar21	Table 2	specific configurations	no	P			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma wollweberi	Chordata	Aves	D	-0.09	-2.26	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma wollweberi	Chordata	Aves	D	-0.13	-3.04	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma wollweberi	Chordata	Aves	D	0.26	7.04	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma wollweberi	Chordata	Aves	D	0.18	4.79	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma wollweberi	Chordata	Aves	D	0.49	15.34	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma wollweberi	Chordata	Aves	D	0.43	12.41	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma ultramarina	Chordata	Aves	D	0.08	1.8	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma ultramarina	Chordata	Aves	D	0.06	1.46	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma ultramarina	Chordata	Aves	D	0.23	4.54	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma ultramarina	Chordata	Aves	D	0.1	1.96	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma californica	Chordata	Aves	D	0.02	0.44	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi	Aphelocoma wollweberi	Aphelocoma californica	Chordata	Aves	D	-0.06	-1.51	sequence capture	10.1111/mec.13813	DP	6Feb21	Table 2 (different geographic regions)	multiple configurations	no	Z			
Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi arizonae	Aphelocoma wollweberi couchii	Chordata	Aves	D	-0.09	Z;-2.26	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi arizonae	Aphelocoma wollweberi couchii	Chordata	Aves	D	-0.13	Z;-3.04 	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi arizonae	Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi potosina	Chordata	Aves	D	0.26	Z;7.04 	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi potosina	Chordata	Aves	D	0.18	Z;4.79	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi arizonae	Aphelocoma wollweberi potosina	Aphelocoma wollweberi couchii 	Chordata	Aves	D	0.49	Z;15.34 	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi arizonae	Aphelocoma wollweberi potosina	Aphelocoma wollweberi couchii	Chordata	Aves	D	0.43	Z;12.41 	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi wollweberi	Aphelocoma ultramarina colimae 	Chordata	Aves	D	0.08	Z;1.8 	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi arizonae	Aphelocoma wollweberi wollweberi	Aphelocoma ultramarina colimae 	Chordata	Aves	D	0.06	Z;1.46	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi couchii	Aphelocoma wollweberi potosina	Aphelocoma ultramarina ultramarina	Chordata	Aves	D	0.23	Z;4.54	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi couchii	Aphelocoma wollweberi potosina	Aphelocoma ultramarina ultramarina	Chordata	Aves	D	0.1	Z;1.96	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi wollweberi	Chordata	Aves	D	0.02	Z;0.44	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi wollweberi	Aphelocoma wollweberi wollweberi	Chordata	Aves	D	-0.06	Z;-1.51 	WGS	https://doi.org/10.1111/mec.13813	Heidi	3/28/20		multiple configurations	no	Z			
Passer domesticus	Passer italiae	Passer hispaniolensis	Chordata	Aves	D	0.195	Z; 0.575	WGS	https://dx.doi.org/10.1126%2Fsciadv.1602996	Heidi	5/2/20	Autosomes	specific configurations	no	Z			
Passer hispaniolensis	Passer italiae	Passer domesticus	Chordata	Aves	D	0.035	Z; 4.98	WGS	https://dx.doi.org/10.1126%2Fsciadv.1602996	Heidi	5/2/20	Autosomes	specific configurations	no	Z			
Passer domesticus	Passer italiae	Passer hispaniolensis	Chordata	Aves	D	0.552	Z; 8.34	WGS	https://dx.doi.org/10.1126%2Fsciadv.1602996	Heidi	5/2/20	Z	specific configurations	no	Z			
Passer hispaniolensis	Passer italiae	Passer domesticus	Chordata	Aves	D	0.575	Z; 7.62	WGS	https://dx.doi.org/10.1126%2Fsciadv.1602996	Heidi	5/2/20	Z	specific configurations	no	Z			
Passer domesticus	Passer italiae	Passer hispaniolensis	Chordata	Aves	D	0.211	Z; 24.23	WGS	https://dx.doi.org/10.1126%2Fsciadv.1602996	Heidi	4/4/20	Whole Genome	all pairwise	no	Z			
Passer hispaniolensis	Passer italiae	Passer domesticus	Chordata	Aves	D	0.065	Z; 5.39	WGS	https://dx.doi.org/10.1126%2Fsciadv.1602996	Heidi	4/4/20	Whole Genome	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus corone	Chordata	Aves	D	0.1	Z; 34.31	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate, Egglib; 0.08	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus corone	Chordata	Aves	D	0.11	Z; 35.43	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0.08	all pairwise	no	Z			
Corvus cornix	Corvus cornix	Corvus corone	Chordata	Aves	D	0	Z; 1.5	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus corone	Chordata	Aves	D	-0.12	Z; -39.6	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0.1	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus corone	Chordata	Aves	D	-0.12	Z; -41.56	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; -0.1	all pairwise	no	Z			
Corvus cornix	Corvus cornix	Corvus corone	Chordata	Aves	D	-0.01	Z; -1.66	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0	all pairwise	no	Z			
Corvus corone	Corvus corone	Corvus cornix 	Chordata	Aves	D	-0.22	Z; -77.51	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; -0.18	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus cornix	Chordata	Aves	D	0.06	Z; 20.02	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0.04	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus cornix	Chordata	Aves	D	0.26	Z; 95.79	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate, Egglib; 0.21	all pairwise	no	Z			
Corvus corone	Corvus corone	Corvus cornix	Chordata	Aves	D	-0.23	Z; -81.13	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; -0.18	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus cornix	Chordata	Aves	D	0.05	Z; 18.61	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0.04	all pairwise	no	Z			
Corvus corone	Corvus cornix	Corvus cornix	Chordata	Aves	D	0.27	Z; 97.51	WGS	https://doi.org/10.1126/science.1253226	Heidi	4/4/20	ANGSD and Egglib used for D-statistic estimate , Egglib; 0.21	all pairwise	no	Z			
Corvus corone	Corvus corone	Corvus cornix	Chordata	Aves	D	-0.226	Z; -80.7575	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus cornix	Corvus corone	Corvus corone	Chordata	Aves	D	-0.1051	Z; -34.9111	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus cornix	Corvus corone	Corvus corone 	Chordata	Aves	D	0.1239	Z; 41.9398	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus cornix	Corvus corone orientalis	Chordata	Aves	D	0.1963	Z; 64.5971	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus cornix	Chordata	Aves	D	-0.087	Z; -28.4764	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus cornix 	Chordata	Aves	D	-0.3056	Z; -106.1954	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus cornix	Corvus corone orientalis 	Chordata	Aves	D	-0.0284	Z; -9.173	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus cornix	Corvus corone orientalis	Chordata	Aves	D	-0.1433	Z; -46.8227	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	-0.1975	Z; -64.5716	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus cornix	Corvus corone orientalis 	Chordata	Aves	D	-0.1151	Z; -37.4883	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus cornix	Corvus corone orientalis 	Chordata	Aves	D	0.0938	Z; 29.7128	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus corone orientalis	Chordata	Aves	D	0.0337	Z; 10.8728	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus cornix	Corvus corone orientalis 	Chordata	Aves	D	-0.1163	Z; -38.0447	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus cornix 	Chordata	Aves	D	0.2339	Z; 77.0083	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus pectoralis 	Chordata	Aves	D	0.1383	Z; 44.1084	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus pectoralis	Chordata	Aves	D	-0.0902	Z; -28.7712	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus pectoralis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	-0.0098	Z; -3.064	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus pectoralis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.0206	Z; 6.4845	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus pectoralis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.3398	Z; 118.4002	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.2305	Z; 75.7677	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus pectoralis 	Chordata	Aves	D	0.0567	Z; 17.7938	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus pectoralis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.1286	Z; 41.0296	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.036	Z; 11.5416	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus pectoralis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.2887	Z; 96.2869	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus pectoralis	Corvus corone orientalis	Corvus corone orientalis	Chordata	Aves	D	0.1105	Z; 35.4039	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	-0.1962	Z; -63.8719	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Corvus corone orientalis	Corvus corone orientalis	Corvus corone orientalis 	Chordata	Aves	D	0.2296	Z; 75.5343	WGS	https://dx.doi.org/10.1038%2Fncomms13195	Heidi	4/4/20	Species with the same name from different countries where used	multiple configurations	no	Z			
Gallus gallus	Gallus gallus domesticus	Gallus sonneratii	Chordata	Aves	D	0.07	Z; 37.85	WGS	https://doi.org/10.1186/s12915-020-0738-1	Heidi	4/30/20	Autosomes (chromosomes 1–28)	specific configurations	yes	Z			-
Gallus gallus	Gallus gallus domesticus	Gallus lafayettii	Chordata	Aves	D	0.06	Z; 36.78	WGS	https://doi.org/10.1186/s12915-020-0738-1	Heidi	4/30/20	Autosomes (chromosomes 1–28)	specific configurations	yes	Z			-
Gallus gallus	Gallus gallus domesticus	Gallus varius	Chordata	Aves	D	0.05	Z; 34.24	WGS	https://doi.org/10.1186/s12915-020-0738-1	Heidi	4/30/20	Autosomes (chromosomes 1–28)	specific configurations	yes	Z			-
Passer domesticus	Passer hispaniolensis	Passer italiae	Chordata	Aves	D	22.52	p; <0.001	WGS	10.1038/s41559-017-0437-7	Heidi	5/4/20		specific configurations	no	P			
