P1	P2	P3	phylum	class	metric	value	significant (Y/N;p-value;z-stat)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time	Recombination(+,0,-)	Sex chromosomes (+;0;-)	mating system	Ne difference?
Catostomus santaanae	Catostomus clarkii	Catostomus discobolus	Chordata	Actinopterygii	D	0.24	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus plebeius	Catostomus virescens	Catostomus platyrhynchus	Chordata	Actinopterygii	D	0.38	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus plebeius	Catostomus discobolus	Catostomus platyrhynchus	Chordata	Actinopterygii	D	0.46	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus jordani	Catostomus platyrhynchus	Catostomus virescens	Chordata	Actinopterygii	D	0.4	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus jordani	Catostomus platyrhynchus	Catostomus discobolus	Chordata	Actinopterygii	D	0.41	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus virescens	Catostomus discobolus	Catostomus platyrhynchus	Chordata	Actinopterygii	D	0.02	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus discobolus	Catostomus discobolus yarrowi	Catostomus plebeius	Chordata	Actinopterygii	D	0.78	y	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus discobolus	Catostomus discobolus yarrowi	Catostomus plebeius	Chordata	Actinopterygii	D	0.11	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus discobolus	Catostomus discobolus yarrowi	Catostomus plebeius	Chordata	Actinopterygii	D	0.09	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Catostomus clarkii	Catostomus santaanae	Catostomus plebeius	Chordata	Actinopterygii	D	0.14	n	RAD	10.1186/s12862-018-1197-y	Dagilis, AJ	04-05-2020		multiple configurations and multiple outgroups	no	RangeZ					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon variegatus	Chordata	Actinopterygii	D	-0.007	-2.05	RAD	https://doi.org/10.1111/mec.12658	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.028	-7.02	RAD	https://doi.org/10.1111/mec.12659	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon variegatus	Chordata	Actinopterygii	D	-0.002	-0.55	RAD	https://doi.org/10.1111/mec.12660	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.013	-3.99	RAD	https://doi.org/10.1111/mec.12661	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon variegatus	Cyprinodon variegatus	Chordata	Actinopterygii	D	-0.002	-0.45	RAD	https://doi.org/10.1111/mec.12662	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon variegatus	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.005	-1.47	RAD	https://doi.org/10.1111/mec.12663	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.014	-2.94	RAD	https://doi.org/10.1111/mec.12664	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.02	-4.41	RAD	https://doi.org/10.1111/mec.12665	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon variegatus	Cyprinodon variegatus	Chordata	Actinopterygii	D	0.004	0.9	RAD	https://doi.org/10.1111/mec.12666	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.013	-2.68	RAD	https://doi.org/10.1111/mec.12667	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon brontotheroides	Cyprinodon brontotheroides	Cyprinodon variegatus	Chordata	Actinopterygii	D	-0.008	-1.83	RAD	https://doi.org/10.1111/mec.12668	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon brontotheroides	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.007	-1.82	RAD	https://doi.org/10.1111/mec.12669	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon brontotheroides	Cyprinodon variegatus	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	0.022	3.82	RAD	https://doi.org/10.1111/mec.12670	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.02	-4.46	RAD	https://doi.org/10.1111/mec.12671	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon variegatus	Chordata	Actinopterygii	D	-0.009	-1.89	RAD	https://doi.org/10.1111/mec.12672	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.015	-4.04	RAD	https://doi.org/10.1111/mec.12673	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Cyprinodon variegatus	Cyprinodon brontotheroides	Cyprinodon brontotheroides	Chordata	Actinopterygii	D	-0.006	-1.4	RAD	https://doi.org/10.1111/mec.12674	Dagilis, AJ		Table 2 (samples from other lakes)	multiple configurations	no	Z					
Astatotilapia spp. (benthic)	Astatotilapia spp. (littoral)	Astatotilapia calliptera	Chordata	Actinopterygii	D	0.011	5.8 × 10−7	RAD	10.1126/science.aac9927	Dagilis, AJ			specific configurations	no	P					
Salmo trutta	Salmo marmoratus	Salmo obtusirostris	Chordata	Actinopterygii	D	0.425	3.86	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z	15.1				
Salvelinus fontinalis	Salvelinus namaycush	Salvelinus leucomaenis	Chordata	Actinopterygii	D	0.172	4.14	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z	15.1				
Salvelinus namaycush	Salvelinus fontinalis	Salvelinus confluentus	Chordata	Actinopterygii	D	-0.201	4.96	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z	15.1				
Salvelinus leucomaenis	Salvelinus levanidovi	Salvethymus svetovidovi	Chordata	Actinopterygii	D	0.104	3.35	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z	15.1				
Salvelinus fontinalis	Salvelinus namaycush	Salvethymus svetovidovi	Chordata	Actinopterygii	D	0.167	3.9	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z	15.1				
Salvelinus malma (OKH)	Salvelinus malma (BER)	Salvelinus alpinus (SIB)	Chordata	Actinopterygii	D	0.135	2.65	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z					
Salvelinus malma (OKH)	Salvelinus malma (BER)	Salvelinus alpinus (ACD)	Chordata	Actinopterygii	D	0.178	3.55	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z					
Salvelinus malma (OKH)	Salvelinus malma (BER)	Salvelinus alpinus (ARC)	Chordata	Actinopterygii	D	0.249	4.05	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z					
Salvelinus malma (OKH)	Salvelinus malma (BER)	Salvelinus alpinus (ATL)	Chordata	Actinopterygii	D	0.149	2.79	RAD	https://doi.org/10.1016/j.ympev.2018.02.022	Dagilis, AJ		Table 3	multiple configurations and multiple outgroups	no	Z					
Xiphophorus cortezi	Xiphophorus nezahualcoyotl	Xiphophorus montezumae	Chordata	Actinopterygii	D	0.38	Y	Transcriptome	doi: 10.1111/evo.12099	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	1.7				
Xiphophorus helleri	Xiphophorus signum	Xiphophorus mayae	Chordata	Actinopterygii	D	0.56	Y	Transcriptome	doi: 10.1111/evo.12100	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	1.67				
Xiphophorus mayae	Xiphophorus hellerii	Xiphophorus alvarezi	Chordata	Actinopterygii	D	-0.41	y	Transcriptome	doi: 10.1111/evo.12101	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	1.67				
Xiphophorus evelynae	Xiphophorus variatus	Xiphophorus xiphidium	Chordata	Actinopterygii	D	0.31	y	Transcriptome	doi: 10.1111/evo.12102	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	2.4				
Xiphophorus couchianus	Xiphophorus milleri	Xiphophorus evelynae	Chordata	Actinopterygii	D	0.09	y	Transcriptome	doi: 10.1111/evo.12103	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	1.86				
Xiphophorus gordoni	Xiphophorus couchianus	Xiphophorus meyeri	Chordata	Actinopterygii	D	0.11	y	Transcriptome	doi: 10.1111/evo.12104	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z					
Xiphophorus meyeri	Xiphophorus xiphidium	Xiphophorus andersi	Chordata	Actinopterygii	D	0.03	y	Transcriptome	doi: 10.1111/evo.12105	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z					
Xiphophorus couchianus	Xiphophorus evelynae	Xiphophorus variatus	Chordata	Actinopterygii	D	0.18	y	Transcriptome	doi: 10.1111/evo.12106	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	1.62				
Xiphophorus birchmanni	Xiphophorus malinche	Xiphophorus pygmaeus	Chordata	Actinopterygii	D	-0.03	n	Transcriptome	doi: 10.1111/evo.12107	Dagilis, AJ	04-03-2020	table S1	multiple configurations	no	Z	2.09				
Gasterosteus aculeatus	Gasterosteus aculeatus	Gasterosteus nipponicus	Chordata	Actinopterygii	fD	0.003	N	WGS	10.1371/journal.pgen.1007358	Dagilis, AJ	03-28-2020	WGS confirmed w/authors	specific configurations	no	Z	0.68	"+"	"-"	XY	
Gasterosteus aculeatus	Gasterosteus aculeatus	Gasterosteus nipponicus	Chordata	Actinopterygii	fD	0.0039	N	WGS	10.1371/journal.pgen.1007358	Dagilis, AJ	03-28-2020	WGS confirmed w/authors	specific configurations	no	Z	0.68	"+"	"-"	XY	
	Gasterosteus aculeatus	Gasterosteus nipponicus	Chordata	Actinopterygii	gmin	0.876	Y	WGS	10.1371/journal.pgen.1007358	Dagilis, AJ	03-28-2020	WGS confirmed w/authors	specific configurations	no	Z	0.68	"+"	"-"	XY	
	Gasterosteus aculeatus	Gasterosteus nipponicus	Chordata	Actinopterygii	gmin	0.857	Y	WGS	10.1371/journal.pgen.1007358	Dagilis, AJ	03-28-2020	WGS confirmed w/authors	specific configurations	no	Z	0.68	"+"	"-"	XY	
Neolamprologus olivaceous	Neolamprologus pulcher	Neolamprologus brichardi	Chordata	Actinopterygii	D	0.224	Z;-61.99	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	2.8	"+"			
Neolamprologus olivaceous	Neolamprologus pulcher	Neolamprologus gracilis	Chordata	Actinopterygii	D	0.062	Z;-21.53	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.1	"+"			
Neolamprologus pulcher	Neolamprologus olivaceous	Neolamprologus marunguensis	Chordata	Actinopterygii	D	0.036	Z;12.48	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.4	"+"			
Neolamprologus brichardi	Neolamprologus olivaceous	Neolamprologus gracilis	Chordata	Actinopterygii	D	0.0006	Z;-0.21	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.1	"+"			
Neolamprologus brichardi	Neolamprologus olivaceous	Neolamprologus marunguensis	Chordata	Actinopterygii	D	0.1593	Z;-59.62	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.4	"+"			
Neolamprologus gracilis	Neolamprologus olivaceous	Neolamprologus marunguensis	Chordata	Actinopterygii	D	0.045	Z;-12.53	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.4	"+"			
Neolamprologus brichardi	Neolamprologus pulcher	Neolamprologus gracilis	Chordata	Actinopterygii	D	0.0635	Z;-21.8	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.1	"+"			
Neolamprologus brichardi	Neolamprologus pulcher	Neolamprologus marunguensis	Chordata	Actinopterygii	D	0.156	Z;-59.63	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.4	"+"			
Neolamprologus brichardi	Neolamprologus gracilis	Neolamprologus marunguensis	Chordata	Actinopterygii	D	0.0972	Z;27.01	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.4	"+"			
Neolamprologus gracilis	Neolamprologus pulcher	Neolamprologus marunguensis	Chordata	Actinopterygii	D	0.0268	Z;-7.35	WGS	10.1111/mec.15256	Dagilis, AJ	04-02-2020	-	specific configurations	no	Z	3.4	"+"			
Gadus morhua	Theragra chalcogramma	Gadus macrocephalus	Chordata	Actinopterygii	D	0.06	15.38	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Theragra chalcogramma	Gadus ogac	Chordata	Actinopterygii	D	0.04	10.14	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Theragra chalcogramma	Arctogadus glacialis	Chordata	Actinopterygii	D	-0.18	-46.25	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Gadus macrocephalus	Theragra chalcogramma	Chordata	Actinopterygii	D	-0.57	-58.7	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Gadus macrocephalus	Gadus ogac	Chordata	Actinopterygii	D	0.92	434.1	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Gadus macrocephalus	Arctogadus glacialis	Chordata	Actinopterygii	D	-0.19	-46.27	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Gadus ogac	Theragra chalcogramma	Chordata	Actinopterygii	D	-0.57	-58.95	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Gadus ogac	Gadus macrocephalus	Chordata	Actinopterygii	D	0.93	443.71	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Gadus ogac	Arctogadus glacialis	Chordata	Actinopterygii	D	-0.19	-47.31	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Arctogadus glacialis	Theragra chalcogramma	Chordata	Actinopterygii	D	-0.8	-161.67	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Arctogadus glacialis	Gadus macrocephalus	Chordata	Actinopterygii	D	-0.63	-97	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus morhua	Arctogadus glacialis	Gadus ogac	Chordata	Actinopterygii	D	-0.64	-98.31	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Gadus macrocephalus	Gadus morhua	Chordata	Actinopterygii	D	-0.6	-76.71	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Gadus macrocephalus	Gadus ogac	Chordata	Actinopterygii	D	0.93	408.75	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Gadus macrocephalus	Arctogadus glacialis	Chordata	Actinopterygii	D	-0.06	-17.31	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Gadus ogac	Gadus morhua	Chordata	Actinopterygii	D	-0.6	-75.28	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Gadus ogac	Gadus macrocephalus	Chordata	Actinopterygii	D	-0.93	400.71	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Gadus ogac	Arctogadus glacialis	Chordata	Actinopterygii	D	-0.07	-17.48	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Arctogadus glacialis	Gadus morhua	Chordata	Actinopterygii	D	-0.73	-123.97	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Arctogadus glacialis	Gadus macrocephalus	Chordata	Actinopterygii	D	-0.62	-100.18	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Theragra chalcogramma	Arctogadus glacialis	Gadus ogac	Chordata	Actinopterygii	D	-0.63	-100.1	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus macrocephalus	Gadus ogac	Gadus morhua	Chordata	Actinopterygii	D	0.05	21	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus macrocephalus	Gadus ogac	Theragra chalcogramma	Chordata	Actinopterygii	D	0.02	6.56	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus macrocephalus	Gadus ogac	Arctogadus glacialis	Chordata	Actinopterygii	D	-0.01	-1.09	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus macrocephalus	Arctogadus glacialis	Gadus morhua	Chordata	Actinopterygii	D	-0.5	-70.02	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus macrocephalus	Arctogadus glacialis	Theragra chalcogramma	Chordata	Actinopterygii	D	-0.58	-92.42	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus macrocephalus	Arctogadus glacialis	Gadus ogac	Chordata	Actinopterygii	D	-0.96	-601.77	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus ogac	Arctogadus glacialis	Gadus morhua	Chordata	Actinopterygii	D	-0.51	-71.22	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus ogac	Arctogadus glacialis	Theragra chalcogramma	Chordata	Actinopterygii	D	-0.59	-93.06	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Gadus ogac	Arctogadus glacialis	Gadus macrocephalus	Chordata	Actinopterygii	D	-0.96	-587.45	WGS	10.1126/sciadv.aat8788	Dagilis, AJ	04-05-2020	table S1	multiple configurations	no	Z					
Stomatepia mariae	Stomatepia mongo	Sarotherodon galileus	Chordata	Actinopterygii	f4	−2.04 × 10−7	0.69	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
Stomatepia mariae	Stomatepia pindu	Sarotherodon galileus	Chordata	Actinopterygii	f4	−1.92 × 10−6	1.8 × 10−5	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
Stomatepia mongo	Stomatepia pindu	Sarotherodon galileus	Chordata	Actinopterygii	f4	−1.59 × 10−6	0.0014	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
Konia dikume	Konia eisentrauti	Sarotherodon galileus	Chordata	Actinopterygii	f4	−2.4 × 10−6	6.3 × 10−5	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
Konia eisentrauti	Pungu maclareni	Sarotherodon galileus	Chordata	Actinopterygii	f4	−2.12 × 10−7	0.73	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
Konia dikume	Pungu maclareni	Sarotherodon galileus	Chordata	Actinopterygii	f4	−2.56 × 10−6	1.2 × 10−5	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
Myaka myaka	Sarotherodon linelli	Sarotherodon galileus	Chordata	Actinopterygii	f4	−4.04 × 10−7	0.57	WGS	10.1002/evl3.78	Dagilis, AJ	04-05-2020		specific configurations	no	P					
	Xiphophorus hellerii	Xiphophorus clemenciae	Chordata	Actinopterygii	D	0.17	9.6e−13	WGS	10.1111/evo.12009	Dagilis, AJ			specific configurations	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla interioris	Chordata	Actinopterygii	D	0.406	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9 	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla interioris	Chordata	Actinopterygii	D	0.358	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9 	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla obscura	Chordata	Actinopterygii	D	0.334	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9 	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla obscura	Chordata	Actinopterygii	D	0.321	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	D	0.316	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla bicolor	Chordata	Actinopterygii	D	0.313	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	D	0.273	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla bicolor	Chordata	Actinopterygii	D	0.239	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	D	0.218	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	D	0.216	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.191	0.002	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	D	0.191	0.005	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
