Authors	Title	Journal	Abstract	Print Year	DOI		Taxon	Order	Genus (or number of)	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	Data type (amplicon, microsat, sanger, WGS, RAD, transcriptome, exome)	Spot-checked	
Parejo, Melanie; Henriques, Dora; Pinto, M. Alice; Soland-Reckeweg, Gabriele; Neuditschko, Markus	Empirical comparison of microsatellite and SNP markers to estimate introgression in Apis mellifera mellifera	JOURNAL OF APICULTURAL RESEARCH	The genetic identity of the dark European honey bee, Apis mellifera mellifera is currently under pressure throughout most of its native range due to large scale commercial trade and replacement with honey bees of mainly Eastern European ancestry (C-lineage: Apis mellifera carnica and Apis mellifera ligustica). To counteract this process, numerous conservation efforts for the protection of native honey bees are sprouting across Europe. For the management of such protected areas and conservation breeding purposes, honey bee subspecies have been routinely identified through wing morphology and through DNA-hybrid tests using microsatellite markers. Currently, new methods are evolving including rapid innovations in single-nucleotide polymorphism (SNP) array technology and high-throughput sequencing. Here, we aim to quantify potential marker-specific biases of hybrid tests and give recommendations for applications in honey bee conservation management. Using an empirical dataset, we first assessed the accuracy of a recently developed reduced SNP panel to estimate C-lineage introgression in A. m. mellifera compared to whole-genome sequence (WGS) data. Using another independent data set, we estimated the differences in admixture proportions between the currently applied hybrid test based on microsatellites and the novel SNP test. We demonstrate that the SNP-based test which contains highly ancestry-informative markers is very efficient to estimate genome-wide ancestry. Furthermore, we report discrepancies between microsatellite and SNP-based admixture proportions. For conservation management, we, therefore, recommend the implementation of SNP-based hybrid tests to maintain high genetic variation within the breeding population, while minimizing influence of introduced honey bees.	2018	10.1080/00218839.2018.1494894		Insects	Hymenoptera	Apis	TRUE	TRUE	no D or fd stats	TRUE	sequence similarity	SNPs (17 loci), microsattelites (12 markers)	TRUE	
Sawamura, Kyoichi; Sato, Hajime; Lee, Chow-Yang; Kamimura, Yoshitaka; Matsuda, Muneo	A Natural Population Derived from Species Hybridization in the Drosophila ananassae Species Complex on Penang Island, Malaysia	ZOOLOGICAL SCIENCE	We surveyed natural population of the Drosophila ananassae species complex on Penang Island, Malaysia. Analyses of phenotypic traits, chromosome arrangements, molecular markers, and reproductive isolation suggest the existence of two species: D. ananassae and D. cf. parapallidosa. Molecular marker analysis indicates that D. cf. parapallidosa carries chromosome Y and 4 introgressions from D. ananassae. Thus, D. cf. parapallidosa seems to be a hybrid descendant that recently originated from a natural D. parapallidosa female x D. ananassae male cross. Furthermore, D. cf. parapallidosa behaves differently from authentic D. parapallidosa with respect to its reproductive isolation from D. ananassae. Premating isolation is usually seen in only the D. ananassae female x D. parapallidosa male cross, but we observed it in crosses of both directions between D. ananassae and D. cf. parapallidosa. In addition, hybrid males from the D. ananassae female x D. parapallidosa. cross are usually sterile, but they were fertile when D. ananassae female were mated with D. cf. parapallidosa male. We attempted an artificial reconstruction of the hybrid species to simulate the evolutionary process(es) that produced D. cf. parapallidosa. This is a rare case of natural hybrid population in Drosophila and may be a useful system for elucidating speciation with gene flow.	2016	10.2108/zs160038		Insects	Lepidoptera	Drosophila	TRUE	TRUE	no D or fd stats	TRUE	morphology, sequence similarity	PCR, RFLP	TRUE	
Bachtrog, D; Thornton, K; Clark, A; Andolfatto, P	Extensive introgression of mitochondrial DNA relative to nuclear genes in the Drosophila yakuba species group	EVOLUTION	Studies of gene flow between recently diverged species can illuminate the role of natural selection in the formation of new species. Drosophila santomea and D. yakuba are recently diverged, partially reproductively isolated species that continue to hybridize in the wild, and appear to be reproductively isolated from the more distantly related species D. teissieri. We examine patterns of nucleotide polymorphism and divergence in these three species at multiple X-linked, Y-linked, and mitochondrial markers. All three species harbor drastically reduced variability on the Y chromosome relative to the X, as expected for a nonrecombining chromosome subject to variation-reducing selection. The three species are generally well differentiated at the nuclear markers, with little evidence for recent introgression for either the X- or Y-linked genes. Based on the nuclear genes, we estimate that D. santomea and D. yakuba diverged about one-half million years ago and split from D. teissieri about one million years ago. In contrast to the pattern at nuclear loci, all three species share a very similar mtDNA haplotype. We show that the mtDNA must have recently introgressed across species boundaries in the D. yakuba subgroup and that its fixation was driven by either selection on the mitochondria itself or other cytoplasmic factors. These results demonstrate that different regions of the genome can have distinct evolutionary dynamics in the context of species formation. Although natural selection is usually thought of as accentuating divergence between species, our results imply that it can also act as a homogenizing force.	2006	10.1111/j.0014-3820.2006.tb01107.x		Insects	Diptera	Drosophila	TRUE	TRUE	no D or fd stats	TRUE	sequence similarity	Sanger (5 genes)	TRUE	
Darras, Hugo; Aron, Serge	Introgression of mitochondrial DNA among lineages in a hybridogenetic ant	BIOLOGY LETTERS	We report a remarkable pattern of incongruence between nuclear and mitochondrial variations in a social insect, the desert ant Cataglyphis hispanica. This species reproduces by social hybridogenesis. In all populations, two distinct genetic lineages coexist; non-reproductive workers develop from hybrid crosses between the lineages, whereas reproductive offspring (males and new queens) are typically produced asexually by parthenogenesis. Genetic analyses based on nuclear markers revealed that the two lineages remain highly differentiated despite constant hybridization for worker production. Here, we show that, in contrast with nuclear DNA, mitochondrial DNA (mtDNA) does not recover the two lineages as monophyletic. Rather, mitochondrial haplotypes cluster according to their geographical origin. We argue that this cytonuclear incongruence stems from introgression of mtDNA among lineages, and review the mechanisms likely to explain this pattern under social hybridogenesis.	2015	10.1098/rsbl.2014.0971		Insects	Hymenoptera	Cataglyphis	TRUE	TRUE	no stats	TRUE	sequence similarity	Sanger (1 gene)	TRUE	
Araki, Alejandra S.; Ferreira, Gabriel E. M.; Mazzoni, Camila J.; Souza, Nataly A.; Machado, Ricardo C.; Bruno, Rafaela V.; Peixoto, Alexandre A.	Multilocus Analysis of Divergence and Introgression in Sympatric and Allopatric Sibling Species of the Lutzomyia longipalpis Complex in Brazil	PLOS NEGLECTED TROPICAL DISEASES	Background: Lutzomyia longipalpis, the main vector of visceral leishmaniasis in Latin America, is a complex of sibling species. In Brazil, a number of very closely related sibling species have been revealed by the analyses of copulation songs, sex pheromones and molecular markers. However, the level of divergence and gene flow between the sibling species remains unclear. Brazilian populations of this vector can be divided in two main groups: one producing Burst-type songs and the Cembrene-1 pheromone and a second more diverse group producing various Pulse song subtypes and different pheromones. Methodology/Principal Findings: We analyzed 21 nuclear loci in two pairs of Brazilian populations: two sympatric populations from the Sobral locality (1S and 2S) in northeastern Brazil and two allopatric populations from the Lapinha and Pancas localities in southeastern Brazil. Pancas and Sobral 2S are populations of the Burst/Cembrene-1 species while Lapinha and Sobral 1S are two putative incipient species producing the same pheromone and similar Pulse song subtypes. The multilocus analysis strongly suggests the occurrence of gene flow during the divergence between the sibling species, with different levels of introgression between loci. Moreover, this differential introgression is asymmetrical, with estimated gene flow being higher in the direction of the Burst/Cembrene-1 species. Conclusions/Significance: The results indicate that introgressive hybridization has been a crucial phenomenon in shaping the genome of the L. longipalpis complex. This has possible epidemiological implications and is particularly interesting considering the potential for increased introgression caused by man-made environmental changes and the current trend of leishmaniasis urbanization in Brazil.	2013	10.1371/journal.pntd.0002495		Insects	Diptera	Lutzomyia	TRUE	TRUE	no D or fd stats	TRUE	sequence similarity	Sanger (24 loci)	TRUE	
Aardema, ML; Andolfatto, P	Phylogenetic incongruence and the evolutionary origins of cardenolide-resistant forms of Na+, K+-ATPase in Danaus butterflies	EVOLUTION	NA	2016	10.1111/evo.12999		Insects	Lepidoptera	Danaus	TRUE	TRUE	only on a suibset of transciptome data 	TRUE	sequence similarity, Patterson's D, trees	transcriptome 	TRUE	
Kastally, Chedly; Trasoletti, Marta; Mardulyn, Patrick	Limited gene exchange between two sister species of leaf beetles within a hybrid zone in the Alps	JOURNAL OF EVOLUTIONARY BIOLOGY	Analysing genomic variation within and between sister species is a first step towards understanding species boundaries. We focused on two sister species of cold-resistant leaf beetles, Gonioctena quinquepunctata and G. intermedia, whose ranges overlap in the Alps. A previous study of DNA sequence variation had revealed multiple instances of mitochondrial genome introgression in this region, suggesting recent hybridization between the two species. To evaluate the extent of gene exchange resulting from these hybridization events, we sampled individuals of both species inside and outside the hybrid zone and analysed genomic variation among them using RAD-seq markers. Individual levels of introgression in the nuclear genome were estimated first by defining species-specific SNPs (displaying a fixed difference between species) a priori and second by using model-based methods. Both types of analyses indicated little gene exchange, if any, between species at the level of the nuclear genome. Whereas the first method suggested slightly more gene flow, we argue that it has likely overestimated introgression in the phylogeographic context of this study. We conclude that strong intrinsic barriers prevent genetic exchange at the level of the nuclear genome between the two species. The apparent discrepancy observed between introgression occurring in the nuclear and mitochondrial genomes could be explained by selection acting in favour of the latter. Also, these results have consequences for the phylogeographic study of each species, since we can assume that genetic diversity in the overlapping portion of their ranges is not the product of introgression.		10.1111/jeb.13538		Insects	Coleoptera	Gonioctena	TRUE	TRUE	no D or fd stats	TRUE	fastStructure, newhybrids, trees	RAD (131000 loci)	TRUE	
Caputo, Beniamino; Santolamazza, Federica; Vicente, Jose L.; Nwakanma, Davis C.; Jawara, Musa; Palsson, Katinka; Jaenson, Thomas; White, Bradley J.; Mancini, Emiliano; Petrarca, Vincenzo; Conway, David J.; Besansky, Nora J.; Pinto, Joao; della Torre, Alessandra	The "Far-West'' of Anopheles gambiae Molecular Forms	PLOS ONE	The main Afrotropical malaria vector, Anopheles gambiae sensu stricto, is undergoing a process of sympatric ecological diversification leading to at least two incipient species (the M and S molecular forms) showing heterogeneous levels of divergence across the genome. The physically unlinked centromeric regions on all three chromosomes of these closely related taxa contain fixed nucleotide differences which have been found in nearly complete linkage disequilibrium in geographic areas of no or low M-S hybridization. Assays diagnostic for SNP and structural differences between M and S forms in the three centromeric regions were applied in samples from the western extreme of their range of sympatry, the only area where high frequencies of putative M/S hybrids have been reported. The results reveal a level of admixture not observed in the rest of the range. In particular, we found: i) heterozygous genotypes at each marker, although at frequencies lower than expected under panmixia; ii) virtually all possible genotypic combinations between markers on different chromosomes, although genetic association was nevertheless detected; iii) discordant M and S genotypes at two X-linked markers near the centromere, suggestive of introgression and inter-locus recombination. These results could be indicative either of a secondary contact zone between M and S, or of the maintenance of ancestral polymorphisms. This issue and the perspectives opened by these results in the study of the M and S incipient speciation process are discussed.	2011	10.1371/journal.pone.0016415		Insects	Diptera	Anopheles	TRUE	TRUE	no stats of interest 	TRUE	sequence similarity	RFLP	TRUE	
Moest, Markus; Van Belleghem, Steven M.; James, Jennifer E.; Salazar, Camilo; Martin, Simon H.; Barker, Sarah L.; Moreira, Gilson R. P.; Merot, Claire; Joron, Mathieu; Nadeau, Nicola J.; Steiner, Florian M.; Jiggins, Chris D.	Selective sweeps on novel and introgressed variation shape mimicry loci in a butterfly adaptive radiation	PLOS BIOLOGY	Natural selection leaves distinct signatures in the genome that can reveal the targets and history of adaptive evolution. By analysing high-coverage genome sequence data from 4 major colour pattern loci sampled from nearly 600 individuals in 53 populations, we show pervasive selection on wing patterns in the Heliconius adaptive radiation. The strongest signatures correspond to loci with the greatest phenotypic effects, consistent with visual selection by predators, and are found in colour patterns with geographically restricted distributions. These recent sweeps are similar between co-mimics and indicate colour pattern turn-over events despite strong stabilising selection. Using simulations, we compare sweep signatures expected under classic hard sweeps with those resulting from adaptive introgression, an important aspect of mimicry evolution in Heliconius butterflies. Simulated recipient populations show a distinct 'volcano' pattern with peaks of increased genetic diversity around the selected target, characteristic of sweeps of introgressed variation and consistent with diversity patterns found in some populations. Our genomic data reveal a surprisingly dynamic history of colour pattern selection and co-evolution in this adaptive radiation.	2020	10.1371/journal.pbio.3000597		Insects	Lepidoptera	Heliconius	TRUE	TRUE	no D or fd stats 	TRUE	demography, trees, simulations	WGS	TRUE	
Gompert, Zachariah; Lucas, Lauren K.; Fordyce, James A.; Forister, Matthew L.; Nice, Chris C.	Secondary contact between Lycaeides idas and L-melissa in the Rocky Mountains: extensive admixture and a patchy hybrid zone	MOLECULAR ECOLOGY	Studies of hybridization have increased our understanding of the nature of species boundaries, the process of speciation, and the effects of hybridization on the evolution of populations and species. In the present study we use genetic and morphological data to determine the outcome and consequences of secondary contact and hybridization between the butterfly species Lycaeides idas and L. melissa in the Rocky Mountains. Admixture proportions estimated from structure and geographical cline analysis indicate L. idas and L. melissa have hybridized extensively in the Rocky Mountains and that reproductive isolation was insufficient to prevent introgression for much of the genome. Geographical patterns of admixture suggest that hybridization between L. idas and L. melissa has led to the formation of a hybrid zone. The hybrid zone is relatively wide, given estimates of dispersal for Lycaeides butterflies, and does not show strong evidence of cline concordance among characters. We believe the structure of the Lycaeides hybrid zone might be best explained by the patchy distribution of Lycaeides, local extinction and colonization of habitat patches, environmental variation and weak overall selection against hybrids. We found no evidence that hybridization in the Rocky Mountains has resulted in the formation of independent hybrid species, in contrast to the outcome of hybridization between L. idas and L. melissa in the Sierra Nevada. Finally, our results suggest that differences in male morphology between L. idas and L. melissa might contribute to isolation, or perhaps even that selection has favoured the spread of L. melissa male genitalia alleles.	2010	10.1111/j.1365-294X.2010.04727.x		Insects	Lepidoptera	Lycaeides	TRUE	TRUE	no stats of interest 	TRUE	structure, clines	microsattelites (4 markers), AFLP (360 markers)	TRUE	
Masly, John P.; Dalton, Justin E.; Srivastava, Sudeep; Chen, Liang; Arbeitman, Michelle N.	The Genetic Basis of Rapidly Evolving Male Genital Morphology in Drosophila	GENETICS	The external genitalia are some of the most rapidly evolving morphological structures in insects. The posterior lobe of the male genital arch shows striking differences in both size and shape among closely related species of the Drosophila melanogaster species subgroup. Here, we dissect the genetic basis of posterior lobe morphology between D. mauritiana and D. sechellia, two island endemic species that last shared a common ancestor similar to 300,000 years ago. We test a large collection of genome-wide homozygous D. mauritiana genetic introgressions, which collectively cover similar to 50% of the genome, for their morphological effects when placed in a D. sechellia genetic background. We find several introgressions that have large effects on posterior lobe morphology and that posterior lobe size and posterior lobe shape can be separated genetically for some of the loci that specify morphology. Using next generation sequencing technology, we perform whole transcriptome gene expression analyses of the larval genital imaginal disc of D. mauritiana, D. sechellia, and two D. mauritiana-D. sechellia hybrid introgression genotypes that each have large effects on either posterior lobe size or posterior lobe shape. Many of the genes we identify as differentially expressed are expressed at levels similar to D. mauritiana in one introgression hybrid, but are expressed at levels similar to D. sechellia in the other introgression hybrid. However, we also find that both introgression hybrids express some of the same genes at levels similar to D. mauritiana, and notably, that both introgression hybrids possess genes in the insulin receptor signaling pathway, which are expressed at D. mauritiana expression levels. These results suggest the possibility that the insulin signaling pathway might integrate size and shape genetic inputs to establish differences in overall posterior lobe morphology between D. mauritiana and D. sechellia.	2011	10.1534/genetics.111.130815		Insects	Diptera	Drosophila	TRUE	TRUE	Introgression line	TRUE	morphology, sequence similarity	microarray (16420 loci), transcriptome	TRUE	
Vicente, Jose L.; Clarkson, Christopher S.; Caputo, Beniamino; Gomes, Bruno; Pombi, Marco; Sousa, Carla A.; Antao, Tiago; Dinis, Joao; Botta, Giordano; Mancini, Emiliano; Petrarca, Vincenzo; Mead, Daniel; Drury, Eleanor; Stalker, James; Miles, Alistair; Kwiatkowski, Dominic P.; Donnelly, Martin J.; Rodrigues, Amabelia; della Torre, Alessandra; Weetman, David; Pinto, Joao	Massive introgression drives species radiation at the range limit of Anopheles gambiae	SCIENTIFIC REPORTS	Impacts of introgressive hybridisation may range from genomic erosion and species collapse to rapid adaptation and speciation but opportunities to study these dynamics are rare. We investigated the extent, causes and consequences of a hybrid zone between Anopheles coluzzii and Anopheles gambiae in Guinea-Bissau, where high hybridisation rates appear to be stable at least since the 1990s. Anopheles gambiae was genetically partitioned into inland and coastal subpopulations, separated by a central region dominated by A. coluzzii. Surprisingly, whole genome sequencing revealed that the coastal region harbours a hybrid form characterised by an A. gambiae-like sex chromosome and massive introgression of A. coluzzii autosomal alleles. Local selection on chromosomal inversions may play a role in this process, suggesting potential for spatiotemporal stability of the coastal hybrid form and providing resilience against introgression of medically-important loci and traits, found to be more prevalent in inland A. gambiae.	2017	10.1038/srep46451		Insects	Diptera	Anopheles	TRUE	TRUE	no D or fd stats	TRUE	STRUCTURE	microsattelites (19), WGS, karyotypes	TRUE	
Nelson, Leigh A.; Lambkin, Christine L.; Batterham, Philip; Wallman, James F.; Dowton, Mark; Whiting, Michael F.; Yeates, David K.; Cameron, Stephen L.	Beyond barcoding: A mitochondrial genomics approach to molecular phylogenetics and diagnostics of blowflies (Diptera: Calliphoridae)	GENE	Members of the Calliphoridae (blowflies) are significant for medical and veterinary management, due to the ability of some species to consume living flesh as larvae, and for forensic investigations due to the ability of others to develop in corpses. Due to the difficulty of accurately identifying larval blowflies to species there is a need for DNA-based diagnostics for this family, however the widely used DNA-barcoding marker, cox1, has been shown to fail for several groups within this family. Additionally, many phylogenetic relationships within the Calliphoridae are still unresolved, particularly deeper level relationships. Sequencing whole mt genomes has been demonstrated both as an effective method for identifying the most informative diagnostic markers and for resolving phylogenetic relationships. Twenty-seven complete, or nearly so, mt genomes were sequenced representing 13 species, seven genera and four calliphorid subfamilies and a member of the related family Tachinidae. PCR and sequencing primers developed for sequencing one calliphorid species could be reused to sequence related species within the same superfamily with success rates ranging from 61% to 100%, demonstrating the speed and efficiency with which an mt genome dataset can be assembled. Comparison of molecular divergences for each of the 13 protein-coding genes and 2 ribosomal RNA genes, at a range of taxonomic scales identified novel targets for developing as diagnostic markers which were 117-200% more variable than the markers which have been used previously in calliphorids. Phylogenetic analysis of whole mt genome sequences resulted in much stronger support for family and subfamily-level relationships. The Calliphoridae are polyphyletic, with the Polleninae more closely related to the Tachinidae, and the Sarcophagidae are the sister group of the remaining calliphorids. Within the Calliphoridae, there was strong support for the monophyly of the Chrysomyinae and Luciliinae and for the sister-grouping of Luciliinae with Calliphorinae. Relationships within Chrysomya were not well resolved. Whole mt genome data, supported the previously demonstrated paraphyly of Lucilia cuprina with respect to L sericata and allowed us to conclude that it is due to hybrid introgression prior to the last common ancestor of modern sericata populations, rather than due to recent hybridisation, nuclear pseudogenes or incomplete lineage sorting. (C) 2012 Elsevier B.V. All rights reserved.	2012	10.1016/j.gene.2012.09.103		Insects	Diptera	Lucilia, Chrysomya	TRUE	TRUE	no D or fd stats 	TRUE	sequence similarity, trees	Sanger (15 genes)	TRUE	
Aruna, S.; Ranganath, H. A.	Introgressive hybridization and evolution of a novel protein phenotype: glue protein profiles in the nasuta-albomicans complex of Drosophila	JOURNAL OF GENETICS	Glue proteins are tissue-specific proteins synthesized by larval salivary gland cells of Drosophila. In Drosophila nasuta nasuta and D. n. albomicans of the nasuta subgroup, the genes that encode the major glue protein fractions are X-linked. In the present study, these X-linked markers have been employed to trace the pattern of introgression of D. n. nasuta and D. n. albomicans genomes with respect to the major glue protein fractions in their interracial hybrids, called cytoraces. These cytoraces have inherited the chromosomes of both parents and have been maintained in the laboratory for over 400-550 generations. The analysis has revealed that cytoraces with D. n. albomicans X chromosome show either D. n. nasuta pattern or a completely novel pattern of glue protein fractions. Further, quantitative analysis also shows lack of correlation between the chromosomal. pattern of inheritance and overall quantity of the major glue protein fractions in the cytoraces. Thus, in cytoraces the parental chromosomes are not just differentially represented but there is evidence for introgression even at the gene level.	2006	10.1007/BF02728966		Insects	Diptera	Drosophila	TRUE	TRUE	no D or fd stats	TRUE	sequence similarity	protein gels (5 loci)	TRUE	
Darling, John A.	Interspecific Hybridization and Mitochondrial Introgression in Invasive Carcinus Shore Crabs	PLOS ONE	Interspecific hybridization plays an important role in facilitating adaptive evolutionary change. More specifically, recent studies have demonstrated that hybridization may dramatically influence the establishment, spread, and impact of invasive populations. In Japan, previous genetic evidence for the presence of two non-native congeners, the European green crab Carcinus maenas and the Mediterranean green crab C. aestuarii, has raised questions regarding the possibility of hybridization between these sister species. Here I present analysis based on both nuclear microsatellites and the mitochondrial cytochrome C oxidase subunit I (COI) gene which unambiguously argues for a hybrid origin of Japanese Carcinus. Despite the presence of mitochondrial lineages derived from both C. maenas and C. aestuarii, the Japanese population is panmictic at nuclear loci and has achieved cytonuclear equilibrium throughout the sampled range in Japan. Furthermore, analysis of admixture at nuclear loci indicates dramatic introgression of the C. maenas mitochondrial genome into a predominantly C. aestuarii nuclear background. These patterns, along with inferences drawn from the observational record, argue for a hybridization event pre-dating the arrival of Carcinus in Japan. The clarification of both invasion history and evolutionary history afforded by genetic analysis provides information that may be critically important to future studies aimed at assessing risks posed by invasive Carcinus populations to Japan and the surrounding region.	2011	10.1371/journal.pone.0017828		Crustacean	Decapoda	Carcinus	TRUE	TRUE	Did not calculate introgression just detected it	TRUE	STRUCTURE, sequence similarity, trees	Sanger (1 gene)	TRUE	
Fraisse, Christelle; Roux, Camille; Welch, John J.; Bierne, Nicolas	Gene-Flow in a Mosaic Hybrid Zone: Is Local Introgression Adaptive?	GENETICS	Genome-wide scans of genetic differentiation between hybridizing taxa can identify genome regions with unusual rates of introgression. Regions of high differentiation might represent barriers to gene flow, while regions of low differentiation might indicate adaptive introgression-the spread of selectively beneficial alleles between reproductively isolated genetic backgrounds. Here we conduct a scan for unusual patterns of differentiation in a mosaic hybrid zone between two mussel species, Mytilus edulis and M. galloprovincialis. One outlying locus, mac-1, showed a characteristic footprint of local introgression, with abnormally high frequency of edulis-derived alleles in a patch of M. galloprovincialis enclosed within the mosaic zone, but low frequencies outside of the zone. Further analysis of DNA sequences showed that almost all of the edulis allelic diversity had introgressed into the M. galloprovincialis background in this patch. We then used a variety of approaches to test the hypothesis that there had been adaptive introgression at mac-1. Simulations and model fitting with maximum-likelihood and approximate Bayesian computation approaches suggested that adaptive introgression could generate a "soft sweep," which was qualitatively consistent with our data. Although the migration rate required was high, it was compatible with the functioning of an effective barrier to gene flow as revealed by demographic inferences. As such, adaptive introgression could explain both the reduced intraspecific differentiation around mac-1 and the high diversity of introgressed alleles, although a localized change in barrier strength may also be invoked. Together, our results emphasize the need to account for the complex history of secondary contacts in interpreting outlier loci.	2014	10.1534/genetics.114.161380		Mollusc	Mytilida	Mytilus	TRUE	TRUE	Did not calculate introgression.	TRUE	demography, trees	AFLP (422), allozyme (5)	TRUE	
Strelkov, Petr; Nikula, Raisa; Vainola, Risto	Macoma balthica in the White and Barents Seas: properties of a widespread marine hybrid swarm (Mollusca : Bivalvia)	MOLECULAR ECOLOGY	A main molecular subdivision in the circumpolar Macoma balthica complex has been described between Atlantic and Pacific taxa. In NE Europe, the clams of the White and Barents Seas, however, show deviant genetic structures. Using allozyme and mitochondrial DNA data, we explore the hypothesis that these deviations result from hybridization between an Atlantic (M. b. rubra) and an invading Pacific (M. b. balthica) lineage. A practically pure Atlantic Macoma extends from France north to the Varanger Peninsula (NE Norway), whereas populations farther east have genetic compositions intermediate between true Atlantic and true Pacific. Admixture estimates range from 32 to 90% Pacific contribution, with a notable deviation in a nearly pure Atlantic outpost in the Mezen Bay (NE White Sea). The pattern of variation is not one of a simple collinear mixing however. Different characters exhibit different degrees of introgression, and the relative introgression varies regionally. Yet, there are practically no interlocus genotypic disequilibria between the diverged loci, which brings out the White Sea-Barents Sea M. balthica as the best-documented marine animal hybrid swarms so far, arisen through amalgamation of genomes previously isolated since pre-Pleistocene times. On top of the main admixture pattern, strong geographical structuring is also seen in characters unrelated to the principal systematic distinction. The persistence of the regional patterns indicates restricted gene flow at the present time, despite the high dispersal potential of the species. The causes of this structuring could be in a complex history of colonization events and features of local hydrography enhancing isolation and divergence of populations.	2007	10.1111/j.1365-294X.2007.03463.x		Mollusc	Cardiida	Macoma	TRUE	TRUE	Did not calculate introgression.	TRUE	sequence similarity, PCA	allozymes (10)	TRUE	
Platt, Roy N., II; McDew-White, Marina; Le Clec'h, Winka; Chevalier, Frederic; Allan, Fiona; Emery, Aidan Mark; Garba, Amadou; Hamidou, Amina A.; Ame, Shaali M.; Webster, Joanne P.; Rollinson, David; Webster, Bonnie L.; Anderson, Timothy J. C.	Ancient Hybridization and Adaptive Introgression of an Invadolysin Gene in Schistosome Parasites	MOLECULAR BIOLOGY AND EVOLUTION	Introgression among parasite species has the potential to transfer traits of biomedical importance across species boundaries. The parasitic blood fluke Schistosoma haematobium causes urogenital schistosomiasis in humans across sub-Saharan Africa. Hybridization with other schistosome species is assumed to occur commonly, because genetic crosses between S. haematobium and livestock schistosomes, including S. bovis, can be staged in the laboratory, and sequencing of mtDNA and rDNA amplified from microscopic miracidia larvae frequently reveals markers from different species. However, the frequency, direction, age, and genomic consequences of hybridization are unknown. We hatched miracidia from eggs and sequenced the exomes from 96 individual S. haematobium miracidia from infected patients from Niger and the Zanzibar archipelago. These data revealed no evidence for contemporary hybridization between S. bovis and S. haematobium in our samples. However, all Nigerien S. haematobium genomes sampled show hybrid ancestry, with 3.3-8.2% of their nuclear genomes derived from S. bovis, providing evidence of an ancient introgression event that occurred at least 108-613 generations ago. Some S. bovis-derived alleles have spread to high frequency or reached fixation and show strong signatures of directional selection; the strongest signal spans a single gene in the invadolysin gene family (Chr. 4). Our results suggest that S. bovis/S. haematobium hybridization occurs rarely but demonstrate profound consequences of ancient introgression from a livestock parasite into the genome of S. haematobium, the most prevalent schistosome species infecting humans.	2019	10.1093/molbev/msz154		Platyhelminthes	Diplostomida	Schistosoma	TRUE	FALSE		TRUE	F3, PCA	exome (51000 loci)	TRUE	
Popovic, Iva; Matias, Ambrocio Melvin A.; Bierne, Nicolas; Riginos, Cynthia	Twin introductions by independent invader mussel lineages are both associated with recent admixture with a native congener in Australia	EVOLUTIONARY APPLICATIONS	Introduced species can impose profound impacts on the evolution of receiving communities with which they interact. If native and introduced taxa remain reproductively semi-isolated, human-mediated secondary contact may promote genetic exchange across newly created hybrid zones, potentially impacting native genetic diversity and invasive species spread. Here, we investigate the contributions of recent divergence histories and ongoing (post-introduction) gene flow between the invasive marine mussel, Mytilus galloprovincialis, and a morphologically indistinguishable and taxonomically contentious native Australian taxon, Mytilus planulatus. Using transcriptome-wide markers, we demonstrate that two contemporary M. galloprovincialis introductions into south-eastern Australia originate from genetically divergent lineages from its native range in the Mediterranean Sea and Atlantic Europe, where both introductions have led to repeated instances of admixture between introduced and endemic populations. Through increased genome-wide resolution of species relationships, combined with demographic modelling, we validate that mussels sampled in Tasmania are representative of the endemic Australian taxon (M. planulatus), but share strong genetic affinities to M. galloprovincialis. Demographic inferences indicate late-Pleistocene divergence times and historical gene flow between the Tasmanian endemic lineage and northern M. galloprovincialis, suggesting that native and introduced taxa have experienced a period of historical isolation of at least 100,000 years. Our results demonstrate that many genomic loci and sufficient sampling of closely related lineages in both sympatric (e.g. Australian populations) and allopatric (e.g. northern hemisphere Mytilus taxa) ranges are necessary to accurately (a) interpret patterns of intraspecific differentiation and to (b) distinguish contemporary invasive introgression from signatures left by recent divergence histories in high dispersal marine species. More broadly, our study fills a significant gap in systematic knowledge of native Australian biodiversity and sheds light on the intrinsic challenges for invasive species research when native and introduced species boundaries are not well defined.	2020	10.1111/eva.12857		Mollusc	Mytilida	Mytilus	TRUE	FALSE		TRUE	demography, ADMIXTURE, trees	transcriptome (20000 loci)	TRUE	
